Abilities Element ID	Abilities Element Name	Work Activities Element ID	Work Activities Element Name
1.A.1.a.1	Oral Comprehension	4.A.1.a.1	Getting Information
1.A.1.a.1	Oral Comprehension	4.A.1.a.2	Monitor Processes, Materials, or Surroundings
1.A.1.a.1	Oral Comprehension	4.A.1.b.1	Identifying Objects, Actions, and Events
1.A.1.a.1	Oral Comprehension	4.A.2.a.1	Judging the Qualities of Things, Services, or People
1.A.1.a.1	Oral Comprehension	4.A.2.a.2	Processing Information
1.A.1.a.1	Oral Comprehension	4.A.2.a.3	Evaluating Information to Determine Compliance with Standards
1.A.1.a.1	Oral Comprehension	4.A.2.b.3	Updating and Using Relevant Knowledge
1.A.1.a.1	Oral Comprehension	4.A.4.a.1	Interpreting the Meaning of Information for Others
1.A.1.a.1	Oral Comprehension	4.A.4.a.2	Communicating with Supervisors, Peers, or Subordinates
1.A.1.a.1	Oral Comprehension	4.A.4.a.3	Communicating with Persons Outside Organization
1.A.1.a.1	Oral Comprehension	4.A.4.a.4	Establishing and Maintaining Interpersonal Relationships
1.A.1.a.1	Oral Comprehension	4.A.4.a.5	Assisting and Caring for Others
1.A.1.a.1	Oral Comprehension	4.A.4.a.6	Selling or Influencing Others
1.A.1.a.1	Oral Comprehension	4.A.4.a.7	Resolving Conflicts and Negotiating with Others
1.A.1.a.1	Oral Comprehension	4.A.4.a.8	Performing for or Working Directly with the Public
1.A.1.a.1	Oral Comprehension	4.A.4.b.1	Coordinating the Work and Activities of Others
1.A.1.a.1	Oral Comprehension	4.A.4.b.2	Developing and Building Teams
1.A.1.a.1	Oral Comprehension	4.A.4.b.3	Training and Teaching Others
1.A.1.a.1	Oral Comprehension	4.A.4.b.4	Guiding, Directing, and Motivating Subordinates
1.A.1.a.1	Oral Comprehension	4.A.4.b.5	Coaching and Developing Others
1.A.1.a.1	Oral Comprehension	4.A.4.b.6	Provide Consultation and Advice to Others
1.A.1.a.1	Oral Comprehension	4.A.4.c.2	Staffing Organizational Units
1.A.1.a.1	Oral Comprehension	4.A.4.c.3	Monitoring and Controlling Resources
1.A.1.a.2	Written Comprehension	4.A.1.a.1	Getting Information
1.A.1.a.2	Written Comprehension	4.A.1.a.2	Monitor Processes, Materials, or Surroundings
1.A.1.a.2	Written Comprehension	4.A.1.b.1	Identifying Objects, Actions, and Events
1.A.1.a.2	Written Comprehension	4.A.2.a.1	Judging the Qualities of Things, Services, or People
1.A.1.a.2	Written Comprehension	4.A.2.a.2	Processing Information
1.A.1.a.2	Written Comprehension	4.A.2.a.3	Evaluating Information to Determine Compliance with Standards
1.A.1.a.2	Written Comprehension	4.A.2.a.4	Analyzing Data or Information
1.A.1.a.2	Written Comprehension	4.A.2.b.1	Making Decisions and Solving Problems
1.A.1.a.2	Written Comprehension	4.A.2.b.3	Updating and Using Relevant Knowledge
1.A.1.a.2	Written Comprehension	4.A.3.b.1	Interacting With Computers
1.A.1.a.2	Written Comprehension	4.A.3.b.6	Documenting/Recording Information
1.A.1.a.2	Written Comprehension	4.A.4.a.1	Interpreting the Meaning of Information for Others
1.A.1.a.2	Written Comprehension	4.A.4.a.2	Communicating with Supervisors, Peers, or Subordinates
1.A.1.a.2	Written Comprehension	4.A.4.a.3	Communicating with Persons Outside Organization
1.A.1.a.2	Written Comprehension	4.A.4.a.7	Resolving Conflicts and Negotiating with Others
1.A.1.a.2	Written Comprehension	4.A.4.b.3	Training and Teaching Others
1.A.1.a.2	Written Comprehension	4.A.4.b.4	Guiding, Directing, and Motivating Subordinates
1.A.1.a.2	Written Comprehension	4.A.4.b.6	Provide Consultation and Advice to Others
1.A.1.a.2	Written Comprehension	4.A.4.c.1	Performing Administrative Activities
1.A.1.a.2	Written Comprehension	4.A.4.c.2	Staffing Organizational Units
1.A.1.a.2	Written Comprehension	4.A.4.c.3	Monitoring and Controlling Resources
1.A.1.a.3	Oral Expression	4.A.1.a.1	Getting Information
1.A.1.a.3	Oral Expression	4.A.2.b.4	Developing Objectives and Strategies
1.A.1.a.3	Oral Expression	4.A.3.b.2	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment
1.A.1.a.3	Oral Expression	4.A.4.a.1	Interpreting the Meaning of Information for Others
1.A.1.a.3	Oral Expression	4.A.4.a.2	Communicating with Supervisors, Peers, or Subordinates
1.A.1.a.3	Oral Expression	4.A.4.a.3	Communicating with Persons Outside Organization
1.A.1.a.3	Oral Expression	4.A.4.a.4	Establishing and Maintaining Interpersonal Relationships
1.A.1.a.3	Oral Expression	4.A.4.a.5	Assisting and Caring for Others
1.A.1.a.3	Oral Expression	4.A.4.a.6	Selling or Influencing Others
1.A.1.a.3	Oral Expression	4.A.4.a.7	Resolving Conflicts and Negotiating with Others
1.A.1.a.3	Oral Expression	4.A.4.a.8	Performing for or Working Directly with the Public
1.A.1.a.3	Oral Expression	4.A.4.b.1	Coordinating the Work and Activities of Others
1.A.1.a.3	Oral Expression	4.A.4.b.2	Developing and Building Teams
1.A.1.a.3	Oral Expression	4.A.4.b.3	Training and Teaching Others
1.A.1.a.3	Oral Expression	4.A.4.b.4	Guiding, Directing, and Motivating Subordinates
1.A.1.a.3	Oral Expression	4.A.4.b.5	Coaching and Developing Others
1.A.1.a.3	Oral Expression	4.A.4.b.6	Provide Consultation and Advice to Others
1.A.1.a.3	Oral Expression	4.A.4.c.2	Staffing Organizational Units
1.A.1.a.4	Written Expression	4.A.2.b.4	Developing Objectives and Strategies
1.A.1.a.4	Written Expression	4.A.3.b.2	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment
1.A.1.a.4	Written Expression	4.A.3.b.6	Documenting/Recording Information
1.A.1.a.4	Written Expression	4.A.4.a.1	Interpreting the Meaning of Information for Others
1.A.1.a.4	Written Expression	4.A.4.a.2	Communicating with Supervisors, Peers, or Subordinates
1.A.1.a.4	Written Expression	4.A.4.a.3	Communicating with Persons Outside Organization
1.A.1.a.4	Written Expression	4.A.4.a.6	Selling or Influencing Others
1.A.1.a.4	Written Expression	4.A.4.a.7	Resolving Conflicts and Negotiating with Others
1.A.1.a.4	Written Expression	4.A.4.b.1	Coordinating the Work and Activities of Others
1.A.1.a.4	Written Expression	4.A.4.b.2	Developing and Building Teams
1.A.1.a.4	Written Expression	4.A.4.b.3	Training and Teaching Others
1.A.1.a.4	Written Expression	4.A.4.b.4	Guiding, Directing, and Motivating Subordinates
1.A.1.a.4	Written Expression	4.A.4.b.6	Provide Consultation and Advice to Others
1.A.1.a.4	Written Expression	4.A.4.c.1	Performing Administrative Activities
1.A.1.a.4	Written Expression	4.A.4.c.2	Staffing Organizational Units
1.A.1.b.1	Fluency of Ideas	4.A.2.b.1	Making Decisions and Solving Problems
1.A.1.b.1	Fluency of Ideas	4.A.2.b.2	Thinking Creatively
1.A.1.b.1	Fluency of Ideas	4.A.2.b.4	Developing Objectives and Strategies
1.A.1.b.1	Fluency of Ideas	4.A.4.a.6	Selling or Influencing Others
1.A.1.b.1	Fluency of Ideas	4.A.4.a.7	Resolving Conflicts and Negotiating with Others
1.A.1.b.1	Fluency of Ideas	4.A.4.b.1	Coordinating the Work and Activities of Others
1.A.1.b.1	Fluency of Ideas	4.A.4.b.2	Developing and Building Teams
1.A.1.b.1	Fluency of Ideas	4.A.4.b.3	Training and Teaching Others
1.A.1.b.1	Fluency of Ideas	4.A.4.b.4	Guiding, Directing, and Motivating Subordinates
1.A.1.b.1	Fluency of Ideas	4.A.4.b.5	Coaching and Developing Others
1.A.1.b.1	Fluency of Ideas	4.A.4.b.6	Provide Consultation and Advice to Others
1.A.1.b.2	Originality	4.A.2.b.1	Making Decisions and Solving Problems
