Abilities Element ID	Abilities Element Name	Work Context Element ID	Work Context Element Name
1.A.1.a.1	Oral Comprehension	4.C.1.a.2.c	Public Speaking
1.A.1.a.1	Oral Comprehension	4.C.1.a.2.f	Telephone
1.A.1.a.1	Oral Comprehension	4.C.1.a.2.l	Face-to-Face Discussions
1.A.1.a.1	Oral Comprehension	4.C.1.a.4	Contact With Others
1.A.1.a.1	Oral Comprehension	4.C.1.b.1.e	Work With Work Group or Team
1.A.1.a.1	Oral Comprehension	4.C.1.b.1.f	Deal With External Customers
1.A.1.a.1	Oral Comprehension	4.C.1.b.1.g	Coordinate or Lead Others
1.A.1.a.1	Oral Comprehension	4.C.1.c.1	Responsible for Others' Health and Safety
1.A.1.a.1	Oral Comprehension	4.C.1.c.2	Responsibility for Outcomes and Results
1.A.1.a.1	Oral Comprehension	4.C.1.d.1	Frequency of Conflict Situations
1.A.1.a.1	Oral Comprehension	4.C.1.d.2	Deal With Unpleasant or Angry People
1.A.1.a.1	Oral Comprehension	4.C.1.d.3	Deal With Physically Aggressive People
1.A.1.a.2	Written Comprehension	4.C.1.a.2.h	Electronic Mail
1.A.1.a.2	Written Comprehension	4.C.1.a.2.j	Letters and Memos
1.A.1.a.3	Oral Expression	4.C.1.a.2.c	Public Speaking
1.A.1.a.3	Oral Expression	4.C.1.a.2.f	Telephone
1.A.1.a.3	Oral Expression	4.C.1.a.2.l	Face-to-Face Discussions
1.A.1.a.3	Oral Expression	4.C.1.a.4	Contact With Others
1.A.1.a.3	Oral Expression	4.C.1.b.1.e	Work With Work Group or Team
1.A.1.a.3	Oral Expression	4.C.1.b.1.f	Deal With External Customers
1.A.1.a.3	Oral Expression	4.C.1.b.1.g	Coordinate or Lead Others
1.A.1.a.3	Oral Expression	4.C.1.c.1	Responsible for Others' Health and Safety
1.A.1.a.3	Oral Expression	4.C.1.c.2	Responsibility for Outcomes and Results
1.A.1.a.3	Oral Expression	4.C.1.d.1	Frequency of Conflict Situations
1.A.1.a.3	Oral Expression	4.C.1.d.2	Deal With Unpleasant or Angry People
1.A.1.a.3	Oral Expression	4.C.1.d.3	Deal With Physically Aggressive People
