O*NET-SOC Code	Related O*NET-SOC Code	Index
11-1011.00	11-9111.00	1
11-1011.00	11-2022.00	2
11-1011.00	11-3031.01	3
11-1011.00	23-1011.00	4
11-1011.00	11-2031.00	5
11-1011.00	11-3061.00	6
11-1011.00	41-1012.00	7
11-1011.00	11-9199.04	8
11-1011.00	11-3071.03	9
11-1011.00	11-3131.00	10
11-1021.00	53-1031.00	1
11-1021.00	43-1011.00	2
11-1021.00	11-3011.00	3
11-1021.00	11-9081.00	4
11-1021.00	11-3071.03	5
11-1021.00	11-9071.00	6
11-1021.00	11-3061.00	7
11-1021.00	11-9051.00	8
11-1021.00	13-1022.00	9
11-1021.00	11-3071.02	10
11-2011.00	27-3031.00	1
11-2011.00	27-2012.01	2
11-2011.00	11-2021.00	3
11-2011.00	11-2031.00	4
11-2011.00	27-1011.00	5
11-2011.00	13-1011.00	6
11-2011.00	27-3043.04	7
11-2011.00	27-2012.03	8
11-2011.00	13-1121.00	9
11-2011.00	13-1161.00	10
11-2021.00	11-2031.00	1
11-2021.00	11-2022.00	2
11-2021.00	13-1161.00	3
11-2021.00	11-2011.00	4
11-2021.00	13-1111.00	5
11-2021.00	27-3031.00	6
11-2021.00	11-3061.00	7
11-2021.00	13-1151.00	8
11-2021.00	11-3131.00	9
11-2021.00	11-3121.00	10
11-2022.00	11-2021.00	1
11-2022.00	41-1012.00	2
11-2022.00	11-2031.00	3
11-2022.00	11-3131.00	4
11-2022.00	11-3121.00	5
11-2022.00	11-3071.01	6
11-2022.00	11-3031.02	7
11-2022.00	11-3071.03	8
11-2022.00	41-4011.00	9
11-2022.00	11-2011.00	10
11-2031.00	11-2021.00	1
11-2031.00	11-3031.02	2
11-2031.00	11-2011.00	3
11-2031.00	11-2022.00	4
11-2031.00	13-1011.00	5
11-2031.00	13-1071.00	6
11-2031.00	27-3031.00	7
11-2031.00	11-3121.00	8
11-2031.00	27-3043.04	9
11-2031.00	13-1121.00	10
11-3011.00	43-1011.00	1
11-3011.00	11-9141.00	2
11-3011.00	43-3061.00	3
11-3011.00	11-9071.00	4
11-3011.00	13-1022.00	5
11-3011.00	11-1021.00	6
11-3011.00	43-6011.00	7
11-3011.00	13-2072.00	8
11-3011.00	13-1071.00	9
11-3011.00	13-1031.02	10
11-3021.00	15-1199.02	1
11-3021.00	15-1143.00	2
11-3021.00	13-1081.01	3
11-3021.00	15-1121.00	4
11-3021.00	27-2012.05	5
11-3021.00	15-1122.00	6
11-3021.00	11-3071.03	7
11-3021.00	13-1081.02	8
11-3021.00	13-2099.02	9
11-3021.00	15-1133.00	10
11-3031.01	13-2011.02	1
11-3031.01	11-3111.00	2
11-3031.01	13-2031.00	3
11-3031.01	13-2099.02	4
11-3031.01	13-1141.00	5
11-3031.01	13-2011.01	6
11-3031.01	15-2011.00	7
11-3031.01	13-2051.00	8
11-3031.01	11-3031.02	9
11-3031.01	11-1011.00	10
11-3031.02	11-2031.00	1
11-3031.02	41-3031.02	2
11-3031.02	41-3031.01	3
11-3031.02	11-2022.00	4
11-3031.02	11-2021.00	5
11-3031.02	13-2011.02	6
11-3031.02	41-1012.00	7
11-3031.02	13-2061.00	8
11-3031.02	13-1071.00	9
11-3031.02	11-3111.00	10
11-3051.00	53-1031.00	1
11-3051.00	53-1021.00	2
11-3051.00	51-1011.00	3
11-3051.00	11-1021.00	4
11-3051.00	11-9051.00	5
11-3051.00	17-2112.00	6
11-3051.00	51-8012.00	7
11-3051.00	11-3071.02	8
11-3051.00	17-3026.00	9
11-3051.00	11-3071.03	10
11-3061.00	11-3071.03	1
11-3061.00	13-1023.00	2
11-3061.00	11-9199.04	3
11-3061.00	11-3071.01	4
11-3061.00	13-1081.02	5
11-3061.00	11-2021.00	6
11-3061.00	13-1081.00	7
11-3061.00	11-3131.00	8
11-3061.00	11-1021.00	9
11-3061.00	11-3071.02	10
11-3071.01	11-3071.03	1
11-3071.01	11-9199.04	2
11-3071.01	11-3061.00	3
11-3071.01	13-1023.00	4
11-3071.01	13-1081.00	5
11-3071.01	13-1081.02	6
11-3071.01	19-3099.01	7
11-3071.01	41-1012.00	8
11-3071.01	11-3071.02	9
11-3071.01	11-1021.00	10
11-3071.02	11-3071.03	1
11-3071.02	53-1021.00	2
11-3071.02	11-3071.01	3
11-3071.02	53-1031.00	4
11-3071.02	13-1081.02	5
11-3071.02	41-1012.00	6
11-3071.02	13-1023.00	7
11-3071.02	11-3061.00	8
11-3071.02	11-9199.04	9
11-3071.02	13-1081.00	10
11-3071.03	11-3071.01	1
11-3071.03	11-9199.04	2
11-3071.03	11-3061.00	3
11-3071.03	13-1023.00	4
11-3071.03	13-1081.02	5
11-3071.03	13-1081.00	6
11-3071.03	11-3071.02	7
11-3071.03	19-3099.01	8
11-3071.03	11-1021.00	9
11-3071.03	13-1081.01	10
11-3111.00	13-1141.00	1
11-3111.00	13-2011.02	2
11-3111.00	13-2099.02	3
11-3111.00	11-3121.00	4
11-3111.00	13-2031.00	5
11-3111.00	13-1161.00	6
