O*NET-SOC Code	Element ID	Element Name	Scale ID	Category	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
11-1011.00	2.D.1	Required Level of Education	RL	1	0.00	27	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	2	0.00	27	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	3	0.00	27	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	4	6.05	27	4.43	1.28	24.19	N	07/2014	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	5	4.23	27	4.27	0.50	27.80	N	07/2014	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	6	21.61	27	9.79	7.76	47.47	N	07/2014	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	7	13.66	27	8.42	3.52	40.70	N	07/2014	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	8	25.83	27	11.34	9.35	54.03	N	07/2014	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	9	19.23	27	16.21	2.71	67.05	Y	07/2014	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	10	0.00	27	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	11	9.39	27	6.68	2.02	34.26	N	07/2014	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	12	0.00	27	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	1	0.00	27	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	2	0.00	27	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	3	0.00	27	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	4	0.00	27	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	5	0.00	27	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	6	5.55	27	5.48	0.68	33.52	N	07/2014	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	7	12.75	27	8.16	3.13	39.76	N	07/2014	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	8	9.17	27	5.63	2.46	28.82	N	07/2014	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	9	28.17	27	11.44	10.93	55.63	N	07/2014	Incumbent
