Element ID	Element Name	Scale ID	Category	Category Description
2.D.1	Required Level of Education	RL	1	Less than a High School Diploma
2.D.1	Required Level of Education	RL	2	High School Diploma - or the equivalent (for example, GED)
2.D.1	Required Level of Education	RL	3	Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
2.D.1	Required Level of Education	RL	4	Some College Courses
2.D.1	Required Level of Education	RL	5	Associate's Degree (or other 2-year degree)
2.D.1	Required Level of Education	RL	6	Bachelor's Degree
2.D.1	Required Level of Education	RL	7	Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
2.D.1	Required Level of Education	RL	8	Master's Degree
2.D.1	Required Level of Education	RL	9	Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.
2.D.1	Required Level of Education	RL	10	First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
2.D.1	Required Level of Education	RL	11	Doctoral Degree
2.D.1	Required Level of Education	RL	12	Post-Doctoral Training
3.A.1	Related Work Experience	RW	1	None
3.A.1	Related Work Experience	RW	2	Up to and including 1 month
3.A.1	Related Work Experience	RW	3	Over 1 month, up to and including 3 months
3.A.1	Related Work Experience	RW	4	Over 3 months, up to and including 6 months
3.A.1	Related Work Experience	RW	5	Over 6 months, up to and including 1 year
3.A.1	Related Work Experience	RW	6	Over 1 year, up to and including 2 years
3.A.1	Related Work Experience	RW	7	Over 2 years, up to and including 4 years
3.A.1	Related Work Experience	RW	8	Over 4 years, up to and including 6 years
3.A.1	Related Work Experience	RW	9	Over 6 years, up to and including 8 years
3.A.1	Related Work Experience	RW	10	Over 8 years, up to and including 10 years
3.A.1	Related Work Experience	RW	11	Over 10 years
3.A.2	On-Site or In-Plant Training	PT	1	None
3.A.2	On-Site or In-Plant Training	PT	2	Up to and including 1 month
3.A.2	On-Site or In-Plant Training	PT	3	Over 1 month, up to and including 3 months
3.A.2	On-Site or In-Plant Training	PT	4	Over 3 months, up to and including 6 months
3.A.2	On-Site or In-Plant Training	PT	5	Over 6 months, up to and including 1 year
3.A.2	On-Site or In-Plant Training	PT	6	Over 1 year, up to and including 2 years
3.A.2	On-Site or In-Plant Training	PT	7	Over 2 years, up to and including 4 years
3.A.2	On-Site or In-Plant Training	PT	8	Over 4 years, up to and including 10 years
3.A.2	On-Site or In-Plant Training	PT	9	Over 10 years
3.A.3	On-the-Job Training	OJ	1	None or short demonstration
3.A.3	On-the-Job Training	OJ	2	Anything beyond short demonstration, up to and including 1 month
3.A.3	On-the-Job Training	OJ	3	Over 1 month, up to and including 3 months
3.A.3	On-the-Job Training	OJ	4	Over 3 months, up to and including 6 months
3.A.3	On-the-Job Training	OJ	5	Over 6 months, up to and including 1 year
3.A.3	On-the-Job Training	OJ	6	Over 1 year, up to and including 2 years
3.A.3	On-the-Job Training	OJ	7	Over 2 years, up to and including 4 years
3.A.3	On-the-Job Training	OJ	8	Over 4 years, up to and including 10 years
3.A.3	On-the-Job Training	OJ	9	Over 10 years
