O*NET-SOC Code	Task	Category	Original Task ID	Original Task	Write-in Total	Date	Domain Source
11-3051.02	Conduct employee safety training.	New	n/a	n/a	9	07/2011	Incumbent
11-3051.04	Manage safety programs at power generation facilities.	New	n/a	n/a	5	07/2012	Incumbent
11-3051.06	Train employees in power plant operations.	New	n/a	n/a	5	07/2016	Incumbent
11-9039.02	Evaluate fitness and wellness programs to determine their effectiveness.	New	n/a	n/a	6	07/2015	Occupational Expert
11-9061.00	Deliver death certificates to medical facilities or offices to obtain signatures from legally authorized persons.	New	n/a	n/a	6	07/2014	Incumbent
11-9071.00	Monitor the performance of the gaming floor, relocating games and installing new games as necessary.	New	n/a	n/a	6	07/2014	Incumbent
11-9199.11	Identify and apply for project funding.	New	n/a	n/a	8	07/2013	Occupational Expert
13-1011.00	Send samples of clients' work and other promotional material to potential employers to obtain auditions, sponsorships and endorsement deals.	New	n/a	n/a	9	06/2007	Incumbent
13-1031.01	Attend mediations or trials.	New	n/a	n/a	5	06/2010	Incumbent
13-1032.00	Contact vendors to locate replacement parts for vehicles.	New	n/a	n/a	5	07/2016	Incumbent
13-1032.00	Discuss insurance claims with customers or damage claimants.	New	n/a	n/a	13	07/2016	Incumbent
13-1032.00	Review repair cost estimates and negotiate with automobile repair shops to secure agreement on cost of repairs.	Revision	7247	Review repair cost estimates with automobile repair shop to secure agreement on cost of repairs.	5	07/2016	Incumbent
13-1041.03	Develop guidelines for nondiscriminatory employment practices, such as affirmative action plans and equal opportunity employment policies.	Revision	20722	Develop guidelines for nondiscriminatory employment practices.	13	07/2015	Incumbent
13-1041.03	Train employees on equal opportunity laws, guidelines, or policies, such as discrimination, diversity, harassment, or affirmative action.	New	n/a	n/a	13	07/2015	Incumbent
13-1041.07	Develop regulatory strategies for products.	New	n/a	n/a	4	08/2019	Occupational Expert
13-1121.00	Contact potential clients, meet with professional and trade associations, and produce brochures and other publications to promote conference, convention, and trade show services.	Revision	1228	Promote conference, convention and trades show services by performing tasks such as meeting with professional and trade associations, and producing brochures and other publications.	8	07/2016	Incumbent
13-1121.00	Plan and develop programs, agendas, budgets, menus, and services according to customer requirements.	Revision	1213	Plan and develop programs, agendas, budgets, and services according to customer requirements.	7	07/2016	Incumbent
13-1141.00	Develop and administer compensation programs such as merit or incentive pay.	New	n/a	n/a	11	07/2017	Occupational Expert
13-2011.01	Process invoices for payment.	New	n/a	n/a	6	08/2018	Incumbent
13-2041.00	Contact customers regarding delinquent accounts to collect payments.	New	n/a	n/a	8	06/2009	Occupational Expert
13-2053.00	Answer agents' questions about insurance coverage.	New	n/a	n/a	7	08/2018	Occupational Expert
13-2082.00	Schedule appointments with clients.	New	n/a	n/a	5	07/2013	Occupational Expert
15-2031.00	Review research literature.	New	n/a	n/a	4	07/2017	Occupational Expert
17-1021.00	Estimate resources, such as production hours, required for projects.	New	n/a	n/a	5	08/2018	Incumbent
17-2011.00	Develop software for aerospace systems.	New	n/a	n/a	6	07/2015	Incumbent
17-2031.00	Design and deliver technology, such as prosthetic devices, to assist people with disabilities.	Revision	8977	Design and deliver technology to assist people with disabilities.	4	07/2017	Occupational Expert
17-2041.00	Develop computer models of chemical processes.	New	n/a	n/a	4	07/2017	Occupational Expert
17-2071.00	Develop software to control electrical systems.	New	n/a	n/a	9	07/2015	Incumbent
17-2081.01	Evaluate the operation and maintenance of water/wastewater systems to identify ways to improve their efficiency.	New	n/a	n/a	5	07/2012	Occupational Expert
17-2111.02	Direct the purchase, modification, installation, testing, maintenance, and operation of fire prevention and protection systems.	Revision	8987	Direct the purchase, modification, installation, maintenance, and operation of fire protection systems.	6	07/2013	Occupational Expert
17-2121.02	Conduct analyses of ships, such as stability, structural, weight, or vibration analyses.	Revision	20732	Conduct stability analyses of ships.	20	07/2015	Incumbent
17-2131.00	Present technical information at conferences.	New	n/a	n/a	5	07/2012	Occupational Expert
17-2199.10	Analyze meteorological data.	New	n/a	n/a	7	07/2012	Incumbent
17-2199.10	Design electrical interconnections.	New	n/a	n/a	5	07/2012	Incumbent
17-2199.10	Design wind turbine components.	New	n/a	n/a	7	07/2012	Incumbent
17-2199.10	Estimate energy production by analyzing wind data.	New	n/a	n/a	15	07/2012	Incumbent
17-3013.00	Create bills of materials.	New	n/a	n/a	5	07/2017	Incumbent
17-3026.00	Create engineering drawings, schematics or blueprints.	New	n/a	n/a	5	07/2014	Incumbent
17-3031.01	Adjust and operate surveying instruments such as prisms, theodolites, electronic distance measuring equipment, or electronic data collectors.	Revision	5394	Adjust and operate surveying instruments such as prisms, theodolites, and electronic distance-measuring equipment.	4	07/2017	Occupational Expert
