Element ID	IWA ID	IWA Title
4.A.1.a.1	4.A.1.a.1.I01	Study details of artistic productions.
4.A.1.a.1	4.A.1.a.1.I02	Read documents or materials to inform work processes.
4.A.1.a.1	4.A.1.a.1.I03	Investigate criminal or legal matters.
4.A.1.a.1	4.A.1.a.1.I04	Gather information from physical or electronic sources.
4.A.1.a.1	4.A.1.a.1.I05	Consult legal materials or public records.
4.A.1.a.1	4.A.1.a.1.I06	Gather data about operational or development activities.
4.A.1.a.1	4.A.1.a.1.I07	Obtain information about goods or services.
4.A.1.a.1	4.A.1.a.1.I08	Research issues related to earth sciences.
4.A.1.a.1	4.A.1.a.1.I09	Research organizational behavior, processes, or performance.
4.A.1.a.1	4.A.1.a.1.I10	Investigate the environmental impact of industrial or development activities.
4.A.1.a.1	4.A.1.a.1.I11	Gather information for news stories.
4.A.1.a.1	4.A.1.a.1.I12	Collect information about patients or clients.
4.A.1.a.1	4.A.1.a.1.I13	Research agricultural processes or practices.
4.A.1.a.1	4.A.1.a.1.I14	Collect data about consumer needs or opinions.
4.A.1.a.1	4.A.1.a.1.I15	Investigate individuals' background, behavior, or activities.
4.A.1.a.1	4.A.1.a.1.I16	Research biological or ecological phenomena.
4.A.1.a.1	4.A.1.a.1.I17	Obtain formal documentation or authorization.
4.A.1.a.1	4.A.1.a.1.I18	Research historical or social issues.
4.A.1.a.1	4.A.1.a.1.I19	Research healthcare issues.
4.A.1.a.1	4.A.1.a.1.I20	Research technology designs or applications.
4.A.1.a.1	4.A.1.a.1.I21	Investigate incidents or accidents.
4.A.1.a.1	4.A.1.a.1.I22	Investigate organizational or operational problems.
4.A.1.a.1	4.A.1.a.1.I23	Interview people to obtain information.
4.A.1.a.2	4.A.1.a.2.I01	Monitor equipment operation.
4.A.1.a.2	4.A.1.a.2.I02	Monitor operations to ensure adequate performance.
4.A.1.a.2	4.A.1.a.2.I03	Monitor financial data or activities.
4.A.1.a.2	4.A.1.a.2.I04	Monitor traffic conditions.
4.A.1.a.2	4.A.1.a.2.I05	Monitor health conditions of humans or animals.
4.A.1.a.2	4.A.1.a.2.I06	Monitor individual behavior or performance.
4.A.1.a.2	4.A.1.a.2.I07	Monitor safety or security of work areas, facilities, or properties.
4.A.1.a.2	4.A.1.a.2.I08	Monitor external affairs, trends, or events.
4.A.1.a.2	4.A.1.a.2.I09	Monitor environmental conditions.
4.A.1.a.2	4.A.1.a.2.I10	Monitor operation of computer or information technologies.
4.A.1.a.2	4.A.1.a.2.I11	Monitor operations to ensure compliance with regulations or standards.
4.A.1.b.1	4.A.1.b.1.I01	Mark materials or objects for identification.
4.A.1.b.1	4.A.1.b.1.I02	Identify business or organizational opportunities.
4.A.1.b.2	4.A.1.b.2.I01	Administer diagnostic tests to assess patient health.
4.A.1.b.2	4.A.1.b.2.I02	Evaluate green technologies or processes.
4.A.1.b.2	4.A.1.b.2.I03	Test characteristics of materials or products.
4.A.1.b.2	4.A.1.b.2.I04	Inspect vehicles.
4.A.1.b.2	4.A.1.b.2.I05	Inspect facilities or equipment.
4.A.1.b.2	4.A.1.b.2.I06	Inspect completed work or finished products.
4.A.1.b.2	4.A.1.b.2.I07	Inspect commercial, industrial, or production systems or equipment.
4.A.1.b.2	4.A.1.b.2.I08	Test performance of computer or information systems.
4.A.1.b.2	4.A.1.b.2.I09	Examine people or animals to assess health conditions or physical characteristics.
4.A.1.b.2	4.A.1.b.2.I10	Inspect characteristics or conditions of materials or products.
4.A.1.b.2	4.A.1.b.2.I11	Test sites or materials for environmental hazards.
4.A.1.b.2	4.A.1.b.2.I12	Test performance of equipment or systems.
4.A.1.b.3	4.A.1.b.3.I01	Measure physical characteristics of materials, products, or equipment.
4.A.1.b.3	4.A.1.b.3.I02	Estimate project development or operational costs.
4.A.1.b.3	4.A.1.b.3.I03	Calculate financial data.
4.A.1.b.3	4.A.1.b.3.I04	Assess characteristics of land or property.
4.A.1.b.3	4.A.1.b.3.I05	Take physical measurements of patients or clients.
4.A.2.a.1	4.A.2.a.1.I01	Assess living, work, or social needs or status of individuals or communities.
4.A.2.a.1	4.A.2.a.1.I02	Evaluate programs, practices, or processes.
4.A.2.a.1	4.A.2.a.1.I03	Assess student capabilities, needs, or performance.
4.A.2.a.1	4.A.2.a.1.I04	Evaluate personnel capabilities or performance.
4.A.2.a.1	4.A.2.a.1.I05	Evaluate production inputs or outputs.
4.A.2.a.1	4.A.2.a.1.I06	Evaluate patient or client condition or treatment options.
4.A.2.a.1	4.A.2.a.1.I07	Evaluate the characteristics, usefulness, or performance of products or technologies.
4.A.2.a.1	4.A.2.a.1.I08	Evaluate scholarly work.
4.A.2.a.1	4.A.2.a.1.I09	Evaluate condition of financial assets, property, or other resources.
4.A.2.a.1	4.A.2.a.1.I10	Evaluate project feasibility.
4.A.2.a.2	4.A.2.a.2.I01	Evaluate the quality or accuracy of data.
4.A.2.a.2	4.A.2.a.2.I02	Sort materials or products.
4.A.2.a.2	4.A.2.a.2.I03	Compile records, documentation, or other data.
4.A.2.a.2	4.A.2.a.2.I04	Reconcile financial data.
4.A.2.a.2	4.A.2.a.2.I05	Verify personal information.
4.A.2.a.3	4.A.2.a.3.I01	Examine materials or documentation for accuracy or compliance.
4.A.2.a.3	4.A.2.a.3.I02	Assess compliance with environmental standards or regulations.
4.A.2.a.3	4.A.2.a.3.I03	Examine financial activities, operations, or systems.
4.A.2.a.3	4.A.2.a.3.I04	Follow standard healthcare safety procedures to protect patient and staff members.
