O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	Date	Domain Source
11-1011.00	1.B.1.a	Realistic	OI	1.33	06/2008	Analyst
11-1011.00	1.B.1.b	Investigative	OI	2.00	06/2008	Analyst
11-1011.00	1.B.1.c	Artistic	OI	2.67	06/2008	Analyst
11-1011.00	1.B.1.d	Social	OI	3.67	06/2008	Analyst
11-1011.00	1.B.1.e	Enterprising	OI	7.00	06/2008	Analyst
11-1011.00	1.B.1.f	Conventional	OI	5.33	06/2008	Analyst
11-1011.00	1.B.1.g	First Interest High-Point	IH	5.00	06/2008	Analyst
11-1011.00	1.B.1.h	Second Interest High-Point	IH	6.00	06/2008	Analyst
11-1011.00	1.B.1.i	Third Interest High-Point	IH	0.00	06/2008	Analyst
11-1011.03	1.B.1.a	Realistic	OI	1.00	07/2013	Analyst
11-1011.03	1.B.1.b	Investigative	OI	4.33	07/2013	Analyst
11-1011.03	1.B.1.c	Artistic	OI	2.67	07/2013	Analyst
11-1011.03	1.B.1.d	Social	OI	2.33	07/2013	Analyst
11-1011.03	1.B.1.e	Enterprising	OI	7.00	07/2013	Analyst
11-1011.03	1.B.1.f	Conventional	OI	4.33	07/2013	Analyst
11-1011.03	1.B.1.g	First Interest High-Point	IH	5.00	07/2013	Analyst
11-1011.03	1.B.1.h	Second Interest High-Point	IH	6.00	07/2013	Analyst
11-1011.03	1.B.1.i	Third Interest High-Point	IH	2.00	07/2013	Analyst
11-1021.00	1.B.1.a	Realistic	OI	1.33	06/2008	Analyst
11-1021.00	1.B.1.b	Investigative	OI	1.33	06/2008	Analyst
11-1021.00	1.B.1.c	Artistic	OI	1.00	06/2008	Analyst
11-1021.00	1.B.1.d	Social	OI	3.33	06/2008	Analyst
11-1021.00	1.B.1.e	Enterprising	OI	7.00	06/2008	Analyst
11-1021.00	1.B.1.f	Conventional	OI	3.67	06/2008	Analyst
11-1021.00	1.B.1.g	First Interest High-Point	IH	5.00	06/2008	Analyst
11-1021.00	1.B.1.h	Second Interest High-Point	IH	6.00	06/2008	Analyst
11-1021.00	1.B.1.i	Third Interest High-Point	IH	4.00	06/2008	Analyst
11-1031.00	1.B.1.a	Realistic	OI	1.00	06/2008	Analyst
11-1031.00	1.B.1.b	Investigative	OI	3.67	06/2008	Analyst
11-1031.00	1.B.1.c	Artistic	OI	3.67	06/2008	Analyst
11-1031.00	1.B.1.d	Social	OI	4.67	06/2008	Analyst
11-1031.00	1.B.1.e	Enterprising	OI	7.00	06/2008	Analyst
11-1031.00	1.B.1.f	Conventional	OI	3.00	06/2008	Analyst
11-1031.00	1.B.1.g	First Interest High-Point	IH	5.00	06/2008	Analyst
11-1031.00	1.B.1.h	Second Interest High-Point	IH	4.00	06/2008	Analyst
11-1031.00	1.B.1.i	Third Interest High-Point	IH	0.00	06/2008	Analyst
11-2011.00	1.B.1.a	Realistic	OI	1.67	06/2008	Analyst
11-2011.00	1.B.1.b	Investigative	OI	2.00	06/2008	Analyst
11-2011.00	1.B.1.c	Artistic	OI	5.33	06/2008	Analyst
11-2011.00	1.B.1.d	Social	OI	2.33	06/2008	Analyst
11-2011.00	1.B.1.e	Enterprising	OI	7.00	06/2008	Analyst
11-2011.00	1.B.1.f	Conventional	OI	4.67	06/2008	Analyst
11-2011.00	1.B.1.g	First Interest High-Point	IH	5.00	06/2008	Analyst
11-2011.00	1.B.1.h	Second Interest High-Point	IH	3.00	06/2008	Analyst
11-2011.00	1.B.1.i	Third Interest High-Point	IH	6.00	06/2008	Analyst
11-2011.01	1.B.1.a	Realistic	OI	1.00	07/2013	Analyst
11-2011.01	1.B.1.b	Investigative	OI	5.33	07/2013	Analyst
11-2011.01	1.B.1.c	Artistic	OI	4.33	07/2013	Analyst
11-2011.01	1.B.1.d	Social	OI	2.33	07/2013	Analyst
11-2011.01	1.B.1.e	Enterprising	OI	5.33	07/2013	Analyst
11-2011.01	1.B.1.f	Conventional	OI	3.00	07/2013	Analyst
11-2011.01	1.B.1.g	First Interest High-Point	IH	5.00	07/2013	Analyst
11-2011.01	1.B.1.h	Second Interest High-Point	IH	3.00	07/2013	Analyst
11-2011.01	1.B.1.i	Third Interest High-Point	IH	2.00	07/2013	Analyst
11-2021.00	1.B.1.a	Realistic	OI	1.00	06/2008	Analyst
11-2021.00	1.B.1.b	Investigative	OI	2.33	06/2008	Analyst
11-2021.00	1.B.1.c	Artistic	OI	3.67	06/2008	Analyst
11-2021.00	1.B.1.d	Social	OI	2.67	06/2008	Analyst
11-2021.00	1.B.1.e	Enterprising	OI	7.00	06/2008	Analyst
11-2021.00	1.B.1.f	Conventional	OI	5.33	06/2008	Analyst
11-2021.00	1.B.1.g	First Interest High-Point	IH	5.00	06/2008	Analyst
11-2021.00	1.B.1.h	Second Interest High-Point	IH	6.00	06/2008	Analyst
11-2021.00	1.B.1.i	Third Interest High-Point	IH	0.00	06/2008	Analyst
11-2022.00	1.B.1.a	Realistic	OI	3.00	06/2008	Analyst
11-2022.00	1.B.1.b	Investigative	OI	2.00	06/2008	Analyst
11-2022.00	1.B.1.c	Artistic	OI	2.00	06/2008	Analyst
11-2022.00	1.B.1.d	Social	OI	3.67	06/2008	Analyst
11-2022.00	1.B.1.e	Enterprising	OI	7.00	06/2008	Analyst
11-2022.00	1.B.1.f	Conventional	OI	4.67	06/2008	Analyst
11-2022.00	1.B.1.g	First Interest High-Point	IH	5.00	06/2008	Analyst
11-2022.00	1.B.1.h	Second Interest High-Point	IH	6.00	06/2008	Analyst
11-2022.00	1.B.1.i	Third Interest High-Point	IH	0.00	06/2008	Analyst
11-2031.00	1.B.1.a	Realistic	OI	1.33	06/2008	Analyst
11-2031.00	1.B.1.b	Investigative	OI	1.33	06/2008	Analyst
11-2031.00	1.B.1.c	Artistic	OI	5.00	06/2008	Analyst
11-2031.00	1.B.1.d	Social	OI	3.67	06/2008	Analyst
11-2031.00	1.B.1.e	Enterprising	OI	7.00	06/2008	Analyst
11-2031.00	1.B.1.f	Conventional	OI	3.67	06/2008	Analyst
