id,CompetencyTitle,Notation,CompetencyDefinition
9001,Accessibility,,"Knowledge of tools, equipment, and technologies used to help individuals with disabilities use computer equipment and software."
9002,Accident Investigation,,"Knowledge of guidelines, regulations, and procedures associated with an accident investigation including preservation of accident scene, root cause analysis, and evidence detection and handling."
9003,Accountability,,"Holds self and others accountable for measurable high-quality, timely, and cost-effective results. Determines objectives, sets priorities, and delegates work. Accepts responsibility for mistakes. Complies with established control systems and rules."
9004,Accounting,,"Knowledge of traditional accounting practices including accrual, obligations, and costs methods."
9005,Accounting Operations,,"Knowledge of general ledger accounting and the control/subsidiary account relationships and reconciliation techniques, including accounts receivable, accounts payable, and disbursing officer's accountability."
9006,Acquisition Strategy,,"Knowledge of the principles and methods for developing an integrated acquisition management plan that describes the business, technical, and support strategies, including the relationship between the acquisition phases, work efforts, and key program events (for example, decision points, contract awards, test activities)."
9007,Administration and Management,,"Knowledge of planning, coordination, and execution of business functions, resource allocation, and production."
9008,Administrative Law,,"Knowledge of state and Federal administrative laws, including procedures, regulations, guidelines, and precedents related to case preparation and settlements."
9009,Aerospace Engineering,,"Knowledge of the concepts, principles, and theories of aerodynamics or space environments related to the design, development, testing, analysis, application, and utilization of aerospace and aeronautical devices, vehicles, systems, and equipment."
9010,Agility,,"Bends, stretches, twists, or reaches out with the body, arms, or legs."
9011,Aircraft Maintenance,,"Knowledge of aircraft engines, parts, and systems, including their designs, uses, repair, and maintenance."
9012,Ammunition and Explosives,,"Knowledge of ammunition and explosives and their uses, interactions, dangers, production, handling, storage, and disposal."
9013,Animal Husbandry,,"Knowledge of the care and handling of animals, including feeding, controlling, restraint, health, and reproduction."
9014,Applies Technology to Tasks,,"Selects and understands procedures, machines, or tools that will produce the desired results; identifies or solves problems in machines, computers, or other technologies as they are related to performing tasks."
9015,Architecture,,"Knowledge of the concepts, principles, theories, and practices used in the planning, design, construction, and maintenance of buildings or other structures, taking into consideration aesthetic and functional concerns."
9016,Arithmetic,,"Performs computations such as addition, subtraction, multiplication, and division correctly using whole numbers, fractions, decimals, and percentages."
9017,Arithmetic/Mathematical Reasoning,,"Performs computations such as addition, subtraction, multiplication, and division correctly; solves practical problems by choosing appropriately from a variety of mathematical techniques such as formulas and percentages."
9018,Arrest,,"Knowledge of the laws, principles, and procedures used in apprehending a criminal suspect, including polices for pursuit and proper use of force and capture such as Miranda rights."
9019,Artificial Intelligence,,"Knowledge of the principles, methods, and tools used to design systems that perform human intelligence functions."
9020,Astronomy,,"Knowledge of the concepts, principles, and theories of the physical processes leading to the emission of electromagnetic radiation or particles from celestial bodies, the measurement and physical characteristics of celestial bodies, including cosmic microwave background, submillimeter technology, galaxies, star formations, and planetary science."
9021,Attention to Detail,,Is thorough when performing work and conscientious about attending to detail.
9022,Audit Reporting,,"Knowledge of the principles, practices, and techniques used to report audit findings (criteria, condition, cause, effect, and recommendation)."
9023,Auditing,,"Knowledge of generally accepted auditing standards and procedures for conducting financial and compliance, economy and efficiency, and program audits."
9024,Biology,,"Knowledge of the environment, plant and animal living tissue, cells, organisms, and entities, including their functions, interdependencies and interactions with each other and the environment."
9025,Botany,,"Knowledge of the concepts, principles, and theories of plants, including structures and functions, classification, taxonomy, plant communities, distribution, habitat requirements, life histories, reproduction, conservation, and care of plant species."
9026,Budget Administration,,"Knowledge of the principles and practices of budget administration and analysis; including preparing, justifying, reporting on, and executing the budget; and the relationships among program, budget, accounting, and reporting systems."
9027,Building and Construction,,"Knowledge of materials, methods, and the tools to construct objects, structures, and buildings."
9028,Business Process Reengineering,,"Knowledge of methods, metrics, tools, and techniques of Business Process Reengineering."
9029,Capacity Management,,"Knowledge of the principles and methods for monitoring, estimating, or reporting actual performance or the performance capability of information systems or components."
9030,Capital Planning and Investment Assessment,,"Knowledge of the principles and methods of capital investment analysis or business case analysis, including return on investment analysis."
9031,Carpentry/Woodworking,,"Knowledge of materials, methods, and the appropriate tools to construct, install, finish, or repair wooden objects or structures."
9032,Cartography,,"Knowledge of the concepts, principles, theories, and methods related to the research, design, development, or revision of maps, charts, and related cartographic products, and photogrammatic and cartographic processing."
9033,Change Management,,"Knowledge of change management principles, strategies, and techniques required for effectively planning, implementing, and evaluating change in the organization."
9034,Chemical Engineering,,"Knowledge of the concepts, principles, and theories related to the chemical composition or physical characteristics of materials for the design, construction, operation, and improvement of processes or systems."
9035,Chemistry (*),(*),"Knowledge of the concepts, principles, and theories of the composition, structure, and properties of substances, and of the chemical processes and transformations, including uses of chemicals and their interactions, danger signs, production techniques, and disposal methods."
9036,Chemistry (†),(†),"Knowledge of chemicals, including hazardous materials, and their uses, interactions, dangers, production, storage, and disposal."
9037,Civil Engineering,,"Knowledge of the concepts, principles, theories, and methods required to plan, design, construct, operate, and maintain facilities such as buildings, transportation systems, water and sanitary systems, and other public works systems."
9038,Classification,,"Knowledge of classification concepts, principles, and practices related to structuring organizations and positions and determining the appropriate pay system, occupational grouping, title, and pay level of positions."
9039,Clerical,,"Knowledge of filing, typing, entering data, maintaining records, taking shorthand, and using and completing forms."
9040,Client Engagement/Change Management,,"Knowledge of the impact of change on people, processes, procedures, leadership, and organizational culture; knowledge of change management principles, strategies, and techniques required for effectively planning, implementing, and evaluating change in the organization."
9041,Communications and Media,,"Knowledge of the production, communication and dissemination of information and ideas to inform and entertain via written, oral, and visual media."
9042,Communications Security Management,,"Knowledge of the principles, policies, and procedures involved in ensuring the security of communications services and data, and in maintaining the communications environment on which it resides."
9043,Compensation,,"Knowledge of compensation concepts, principles, and practices, including pay and leave administration and compensation flexibilities."
9044,Compliance,,"Knowledge of procedures for assessing, evaluating, and monitoring programs or projects for compliance with Federal laws, regulations, and guidance."
9045,Compliance Inspection,,"Knowledge of the guidelines, regulations, and procedures associated with compliance inquiries, including application of compliance rules and criteria and ability to make appropriate decisions and issue citations, fines, or orders."
9046,Computer Forensics,,Knowledge of tools and techniques used in data recovery and preservation of electronic evidence.
9047,Computer Languages,,Knowledge of computer languages and their applications to enable a system to perform specific functions.
9048,Computer Network Defense,,"Knowledge of defensive measures to detect, respond, and protect information, information systems, and networks from threats."
9049,Computer Skills,,"Uses computers, software applications, databases, and automated systems to accomplish work."
9050,Computers,,"Knowledge of circuit boards, processors, chips, and computer hardware and software, including applications and programming."
9051,Computers and Electronics,,"Knowledge of electric circuit boards, processors, chips, and computer hardware and software, including applications and programming."
9052,Configuration Management,,"Knowledge of the principles and methods for planning or managing the implementation, update, or integration of information systems components."
9053,Conflict Management (*),(*),"Manages and resolves conflicts, grievances, confrontations, or disagreements in a constructive manner to minimize negative personal impact."
9054,Conflict Management (‡),(‡),Encourages creative tension and differences of opinions.  Anticipates and takes steps to prevent counter-productive confrontations. Manages and resolves conflicts and disagreements in a constructive manner.
9055,Conscientiousness,,Displays a high level of effort and commitment towards performing work; demonstrates responsible behavior.
9056,Constitutional Law,,Knowledge of the laws and legal precedents related to the U.S. Constitution.
9057,Continual Learning,,Assesses and recognizes own strengths and weaknesses; pursues self-development.
9058,Contracting/Procurement,,"Knowledge of various types of contracts, techniques, or requirements (for example, Federal Acquisitions Regulations) for contracting or procurement, and contract negotiation and administration."
9059,Control of Funds,,"Knowledge of the principles, procedures, and requirements for maintaining control and accountability of obligations and expenditures for all appropriations and fund accounts (for example, revolving, non-appropriated, multiyear, and single-year appropriations)."
9060,Cost Accounting,,"Knowledge of the principles, procedures, and methods of cost accounting, including the use of historical cost, market value, or present value to measure cost; methods for assigning cost to accounting periods; and cost allocation, cost accrual, depreciation, and unit cost."
9061,Cost Estimation and Analysis,,"Knowledge of the principles, practices, and methods used to determine, estimate, and analyze costs, including determining life cycle costs, application of cost models, and evaluation of cost realism."
9062,Cost-Benefit Analysis,,"Knowledge of the principles and methods of cost-benefit analysis, including the time value of money, present value concepts, and quantifying tangible and intangible benefits."
9063,Creative Thinking (*),(*),Uses imagination to develop new insights into situations and applies innovative solutions to problems; designs new methods where established methods and procedures are inapplicable or are unavailable.
9064,Creative Thinking (†),(†),Uses imagination to develop new insights into situations and applies new solutions to problems; designs new methods where established methods and procedures are not suitable or are unavailable.
9065,Creativity and Innovation,,Develops new insights into situations; questions conventional approaches; encourages new ideas and innovations; designs and implements new or cutting edge programs/processes.
9066,Criminal Investigation,,"Knowledge of the guidelines, regulations, and procedures associated with criminal investigation, including evidence detection and handling and drawing appropriate factual inferences and conclusions."
9067,Criminal Law,,"Knowledge of state and Federal criminal laws, including procedures, regulations, guidelines, and precedents related to admissibility of evidence and prosecution."
9068,Customer Service (*),(*),"Works with clients and customers (that is, any individuals who use or receive the services or products that your work unit produces, including the general public, individuals who work in the agency, other agencies, or organizations outside the Government) to assess their needs, provide information or assistance, resolve their problems, or satisfy their expectations; knows about available products and services; is committed to providing quality products and services."
9069,Customer Service (‡),(‡),Anticipates and meets the needs of both internal and external customers. Delivers high-quality products and services; is committed to continuous improvement.
9070,Cutting,,"Knowledge of meat cutting, including the grades and structure of meat, fish, or poultry."
9071,Data Management,,"Knowledge of the principles, procedures, and tools of data management, such as modeling techniques, data backup, data recovery, data dictionaries, data warehousing, data mining, data archiving, data disposal, and data standardization processes."
9072,Data Systems,,"Knowledge of computer hardware and software development and systems as they apply to the conception, specification, analysis, planning, development, installation, test, modification and use of data handling and computing systems in support of aerospace flight and ground systems."
9073,Database Administration,,"Knowledge of the principles, methods, and tools for automating, developing, implementing, or administering database systems."
9074,Database Management Systems,,"Knowledge of the uses of database management systems and software to control the organization, storage, retrieval, security, and integrity of data."
9075,Decision Making,,"Makes sound, well-informed, and objective decisions; perceives the impact and implications of decisions; commits to action, even in uncertain situations, to accomplish organizational goals; causes change."
9076,Decision Support,,"Knowledge of decision support theories, methods, and tools for identifying, synthesizing, representing, and evaluating the important aspects of a decision situation and prescribing the recommended course for decision makers and other stakeholders."
9077,Decisiveness,,"Makes well-informed, effective, and timely decisions, even when data are limited or solutions produce unpleasant consequences; perceives the impact and implications of decisions."
9078,Depth Perception,,"Accurately judges which of several objects is closer or farther away from the observer, or the distance between an object and the observer."
9079,Design,,"Knowledge of conceptualizing, developing, producing, understanding, and using plans, models, blueprints, and maps, including the use of tools and instruments to produce precision technical drawings, working prototypes, components, or systems."
9080,Detention,,"Knowledge of the policies and procedures for detaining criminal suspects including processing, fingerprinting, detention requests, informing detainee of charges, and transportation."
9081,Developing Others,,Develops the ability of others to perform and contribute to the organization by providing ongoing feedback and by providing opportunities to learn through formal and informal methods.
9082,Distributed Systems,,"Knowledge of the principles, theoretical concepts, and tools underlying distributed computing systems, including their associated components and communication standards."
9083,Earth Science,,"Knowledge of interdisciplinary disciplines associated with the earth’s composition, structure, or other physical aspects, including atmosphere."
9084,Ecology,,"Knowledge of the concepts, principles, and theories of the interrelationships among organisms and their environment, including competition and predation, evolution and natural selection, population dynamics, and the impact of natural phenomena or human actions on natural systems, processes, and biota."
9085,Economics,,"Knowledge of economic policy, principles, and practices, market and non-market values, and the analysis and reporting of economic data."
9086,Economics and Accounting,,"Knowledge of economic and accounting principles and practices, tax law and practices, the financial markets, banking, and the analysis and reporting of financial data."
9087,Education and Training,,"Knowledge of teaching, training, research, making presentations, lecturing, testing, and other instructional methods."
9088,Electrical,,"Knowledge of electrical equipment, components, instruments, and systems, including their design, installation, testing, uses, repair, or maintenance."
9089,Electrical Engineering,,"Knowledge of the concepts, principles, theories, and methods related to the design, analysis, test, and integration of electrical systems; energy conversion; electrical power generation; and energy transmission, control, distribution or use."
9090,Electronic Commerce (e-Commerce),,"Knowledge of the principles, methods, and tools for conducting business online, including electronic data interchange."
9091,Electronics,,"Knowledge of electronic theory, circuits, components, and material properties (excluding computers)."
9092,Electronics Engineering,,"Knowledge of the concepts, principles, theories, and methods related to the design, analysis, test, fabrication, or verification of analog or digital electronic systems."
9093,Embedded Computers,,"Knowledge of specifications and uses of specialized computer systems used to control devices (for example, automobiles, helicopters), including the appropriate programming languages."
9094,Employee Benefits,,"Knowledge of HR concepts, principles, and practices related to retirement, insurance, injury compensation, and other employee benefits programs."
9095,Employee Development,,"Knowledge of employee development concepts, principles, and practices related to planning, evaluating, and administering training, organizational development, and career development initiatives."
9096,Employee Relations,,"Knowledge of laws, rules, regulations, case law, principles, and practices related to employee conduct, performance, and dispute resolution."
9097,Encryption,,"Knowledge of procedures, tools, and applications used to keep data or information secure, including public key infrastructure, point-to-point encryption, and smart cards."
9098,Engineering and Technology,,"Knowledge of engineering concepts, principles, and practices, and of equipment, tools, mechanical devices, and their uses to produce motion, light, power, technology, and other applications."
9099,Enterprise Architecture,,"Knowledge of principles, concepts, and methods of enterprise architecture to align information technology (IT) strategy, plans, and systems with the mission, goals, structure, and processes of the organization."
