OPM SERIES NUMBER,OPM SERIES TITLE ,SUPERVISORY FEDERAL SECTOR JOB GROUP,NON-SUPERVISORY FEDERAL SECTOR JOB GROUP,2010 SOC CODE,2010 SOC CODE TEXT,2010 EEO TABULATION (CENSUS) CODE,2010 EEO TABULATION (CENSUS) OCCUPATION TITLE
342,SUPPORT SERVICES ADMINISTRATION ,1,2*,11-Nov,11-3011,100,ADMINISTRATIVE SERVICES MANAGERS
1152,PRODUCTION CONTROL ,1,5,Nov-51,11-3051,140,INDUSTRIAL PRODUCTION MANAGERS
201,HUMAN RESOURCES MANAGEMENT ,1,2,21-Nov,11-3121,136,HUMAN RESOURCES MANAGERS
670,HEALTH SYSTEM ADMINISTRATION,1,2*,11-Nov,11-9111,350,MEDICAL & HEALTH SERVICES MANAGEMENT 
1103,INDUSTRIAL PROPERTY MANAGEMENT ,1,2,Nov-41,11-9141,410,"PROPERTY, REAL ESTATE, & COMMUNITY ASSOCIATION MANAGERS"
1173,HOUSING MANAGEMENT,1,2,Nov-41,11-9141,410,"PROPERTY, REAL ESTATE, & COMMUNITY ASSOCIATION MANAGERS"
1176,BUILDING MANAGEMENT,1,2,Nov-41,11-9141,410,"PROPERTY, REAL ESTATE, & COMMUNITY ASSOCIATION MANAGERS"
89,EMERGENCY MANAGEMENT,1,2,Nov-61,11-9161,425,EMERGENCY MANAGEMENT DIRECTORS
1102,CONTRACTING,1,2,13-1023,13-1023,530,"PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL, & FARM PRODUCTS"
1105,PURCHASING ,1,2,13-1023,13-1023,530,"PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL, & FARM PRODUCTS"
105,SOCIAL INSURANCE ADMINISTRATION ,1,2,13-1030,13-1030,540,"CLAIMS ADJUSTERS, APPRAISERS, EXAMINERS, & INVESTIGATORS"
991,WORKERS' COMPENSATION CLAIMS EXAMINING,1,2,13-1030,13-1030,540,"CLAIMS ADJUSTERS, APPRAISERS, EXAMINERS, & INVESTIGATORS"
993,RAILROAD RETIREMENT CLAIMS EXAMINING ,1,2,13-1030,13-1030,540,"CLAIMS ADJUSTERS, APPRAISERS, EXAMINERS, & INVESTIGATORS"
996,VETERANS CLAIMS EXAMINING,1,2,13-1030,13-1030,540,"CLAIMS ADJUSTERS, APPRAISERS, EXAMINERS, & INVESTIGATORS"
2135,TRANSPORTATION LOSS & DAMAGE CLAIMS EXAMINING (Series Discontinued),1,2,13-1030,13-1030,540,"CLAIMS ADJUSTERS, APPRAISERS, EXAMINERS, & INVESTIGATORS"
244,LABOR-MANAGEMENT RELATIONS EXAMINING ,1,2,13-1041,13-1041,565,COMPLIANCE OFFICERS
249,WAGE & HOUR COMPLIANCE,1,2,13-1041,13-1041,565,COMPLIANCE OFFICERS
