Element ID	Element Name	Survey Item Number	Scale ID
1.C.1.a	Achievement/Effort	KN40	IM
1.C.1.b	Persistence	KN41	IM
1.C.1.c	Initiative	KN42	IM
1.C.2.b	Leadership	KN43	IM
1.C.3.a	Cooperation	KN44	IM
1.C.3.b	Concern for Others	KN45	IM
1.C.3.c	Social Orientation	KN46	IM
1.C.4.a	Self Control	KN47	IM
1.C.4.b	Stress Tolerance	KN48	IM
1.C.4.c	Adaptability/Flexibility	KN49	IM
1.C.5.a	Dependability	KN50	IM
1.C.5.b	Attention to Detail	KN51	IM
1.C.5.c	Integrity	KN52	IM
1.C.6	Independence	KN53	IM
1.C.7.a	Innovation	KN54	IM
1.C.7.b	Analytical Thinking	KN55	IM
2.C.1.a	Administration and Management	KN01	IM
2.C.1.a	Administration and Management	KN01	LV
2.C.1.b	Clerical	KN02	IM
2.C.1.b	Clerical	KN02	LV
2.C.1.c	Economics and Accounting	KN03	IM
2.C.1.c	Economics and Accounting	KN03	LV
2.C.1.d	Sales and Marketing	KN04	IM
2.C.1.d	Sales and Marketing	KN04	LV
2.C.1.e	Customer and Personal Service	KN05	IM
2.C.1.e	Customer and Personal Service	KN05	LV
2.C.1.f	Personnel and Human Resources	KN06	IM
2.C.1.f	Personnel and Human Resources	KN06	LV
2.C.2.a	Production and Processing	KN07	IM
2.C.2.a	Production and Processing	KN07	LV
2.C.2.b	Food Production	KN08	IM
2.C.2.b	Food Production	KN08	LV
2.C.3.a	Computers and Electronics	KN09	IM
2.C.3.a	Computers and Electronics	KN09	LV
2.C.3.b	Engineering and Technology	KN10	IM
2.C.3.b	Engineering and Technology	KN10	LV
2.C.3.c	Design	KN11	IM
2.C.3.c	Design	KN11	LV
2.C.3.d	Building and Construction	KN12	IM
2.C.3.d	Building and Construction	KN12	LV
2.C.3.e	Mechanical	KN13	IM
2.C.3.e	Mechanical	KN13	LV
2.C.4.a	Mathematics	KN14	IM
2.C.4.a	Mathematics	KN14	LV
2.C.4.b	Physics	KN15	IM
2.C.4.b	Physics	KN15	LV
2.C.4.c	Chemistry	KN16	IM
2.C.4.c	Chemistry	KN16	LV
2.C.4.d	Biology	KN17	IM
2.C.4.d	Biology	KN17	LV
2.C.4.e	Psychology	KN18	IM
2.C.4.e	Psychology	KN18	LV
2.C.4.f	Sociology and Anthropology	KN19	IM
2.C.4.f	Sociology and Anthropology	KN19	LV
2.C.4.g	Geography	KN20	IM
2.C.4.g	Geography	KN20	LV
2.C.5.a	Medicine and Dentistry	KN21	IM
2.C.5.a	Medicine and Dentistry	KN21	LV
2.C.5.b	Therapy and Counseling	KN22	IM
2.C.5.b	Therapy and Counseling	KN22	LV
2.C.6	Education and Training	KN23	IM
2.C.6	Education and Training	KN23	LV
2.C.7.a	English Language	KN24	IM
2.C.7.a	English Language	KN24	LV
2.C.7.b	Foreign Language	KN25	IM
2.C.7.b	Foreign Language	KN25	LV
2.C.7.c	Fine Arts	KN26	IM
2.C.7.c	Fine Arts	KN26	LV
2.C.7.d	History and Archeology	KN27	IM
2.C.7.d	History and Archeology	KN27	LV
2.C.7.e	Philosophy and Theology	KN28	IM
2.C.7.e	Philosophy and Theology	KN28	LV
2.C.8.a	Public Safety and Security	KN29	IM
2.C.8.a	Public Safety and Security	KN29	LV
2.C.8.b	Law and Government	KN30	IM
2.C.8.b	Law and Government	KN30	LV
2.C.9.a	Telecommunications	KN31	IM
2.C.9.a	Telecommunications	KN31	LV
2.C.9.b	Communications and Media	KN32	IM
2.C.9.b	Communications and Media	KN32	LV
2.C.10	Transportation	KN33	IM
2.C.10	Transportation	KN33	LV
2.D.1	Required Level of Education	KN34	RL
2.D.4.a	Job-Related Professional Certification	KN38	IM
3.A.1	Related Work Experience	KN35	RW
3.A.2	On-Site or In-Plant Training	KN36	PT
3.A.3	On-the-Job Training	KN37	OJ
3.A.4.a	Apprenticeship	KN39	IM
4.A.1.a.1	Getting Information	GW01	IM
4.A.1.a.1	Getting Information	GW01	LV
4.A.1.a.2	Monitor Processes, Materials, or Surroundings	GW03	IM
