O*NET-SOC Code	Example	Commodity Code	Commodity Title	Hot Technology
11-1011.00	Adobe Systems Adobe Acrobat	43232202	Document management software	Y
11-1011.00	AdSense Tracker	43232306	Data base user interface and query software	N
11-1011.00	Atlassian JIRA	43232201	Content workflow software	Y
11-1011.00	Blackbaud The Raiser's Edge	43232303	Customer relationship management CRM software	N
11-1011.00	ComputerEase Construction Accounting	43231601	Accounting software	N
11-1011.00	Database reporting software	43232305	Data base reporting software	N
11-1011.00	Databox	43232306	Data base user interface and query software	N
11-1011.00	Email software	43233501	Electronic mail software	N
11-1011.00	Enterprise resource planning ERP software	43231602	Enterprise resource planning ERP software	Y
11-1011.00	Exact Software Macola ES Labor Performance	43231605	Time accounting software	N
11-1011.00	Extensible markup language XML	43232403	Enterprise application integration software	Y
11-1011.00	Fund accounting software	43231601	Accounting software	N
11-1011.00	Graphic presentation software	43232102	Graphics or photo imaging software	N
11-1011.00	Halogen e360	43231505	Human resources software	N
11-1011.00	Halogen ePraisal	43231505	Human resources software	N
11-1011.00	HCSS HeavyBid	43231507	Project management software	N
11-1011.00	HCSS HeavyJob	43231507	Project management software	N
11-1011.00	Human resource information system HRIS	43231505	Human resources software	N
11-1011.00	Infor SSA Human Capital Management	43231505	Human resources software	N
11-1011.00	Intuit QuickBooks	43231601	Accounting software	Y
11-1011.00	Listserv software	43233501	Electronic mail software	N
11-1011.00	Lyris HQ Web-Analytics Solution	43232605	Analytical or scientific software	N
11-1011.00	Microsoft Access	43232306	Data base user interface and query software	Y
11-1011.00	Microsoft Dynamics	43231602	Enterprise resource planning ERP software	Y
11-1011.00	Microsoft Dynamics AX	43231602	Enterprise resource planning ERP software	Y
11-1011.00	Microsoft Dynamics GP	43231602	Enterprise resource planning ERP software	Y
11-1011.00	Microsoft Excel	43232110	Spreadsheet software	Y
11-1011.00	Microsoft FRx	43231604	Financial analysis software	N
11-1011.00	Microsoft Office	43231513	Office suite software	Y
11-1011.00	Microsoft Outlook	43233501	Electronic mail software	Y
11-1011.00	Microsoft PowerPoint	43232106	Presentation software	Y
11-1011.00	Microsoft Project	43231507	Project management software	Y
11-1011.00	Microsoft Publisher	43232112	Desktop publishing software	N
11-1011.00	Microsoft SharePoint	43231507	Project management software	Y
11-1011.00	Microsoft Word	43232104	Word processing software	Y
11-1011.00	Nedstat Sitestat	43232605	Analytical or scientific software	N
11-1011.00	Norchard Solutions Succession Wizard	43231605	Time accounting software	N
11-1011.00	Online advertising reporting software	43232605	Analytical or scientific software	N
11-1011.00	Oracle E-Business Suite	43231602	Enterprise resource planning ERP software	Y
11-1011.00	Oracle PeopleSoft	43231602	Enterprise resource planning ERP software	Y
11-1011.00	Oracle Siebel Server Sync	43232303	Customer relationship management CRM software	N
11-1011.00	PHP: Hypertext Preprocessor	43232408	Web platform development software	Y
11-1011.00	Relational database management software	43232304	Data base management system software	Y
11-1011.00	Sage 50 Accounting	43231601	Accounting software	N
11-1011.00	SAP	43231602	Enterprise resource planning ERP software	Y
11-1011.00	SmugMug Flickr	43232102	Graphics or photo imaging software	Y
11-1011.00	Structured query language SQL	43232306	Data base user interface and query software	Y
11-1011.00	Web browser software	43232705	Internet browser software	N
11-1011.03	Email software	43233501	Electronic mail software	N
11-1011.03	Microsoft Access	43232306	Data base user interface and query software	Y
11-1011.03	Microsoft Dynamics GP	43231602	Enterprise resource planning ERP software	Y
11-1011.03	Microsoft Excel	43232110	Spreadsheet software	Y
