O*NET-SOC Code	Example	Commodity Code	Commodity Title
11-1011.00	10-key calculators	44101809	Desktop calculator
11-1011.00	Desktop computers	43211507	Desktop computers
11-1011.00	Laptop computers	43211503	Notebook computers
11-1011.00	Personal computers	43211508	Personal computers
11-1011.00	Personal digital assistants PDA	43211504	Personal digital assistant PDAs or organizers
11-1011.00	Smartphones	43191501	Mobile phones
11-1011.00	Universal serial bus USB flash drives	43201813	High capacity removable media drives
11-1011.03	10-key calculators	44101809	Desktop calculator
11-1011.03	Computer data input scanners	43211711	Scanners
11-1011.03	Desktop computers	43211507	Desktop computers
11-1011.03	Handheld computers	43211715	Portable data input terminals
11-1011.03	Laptop computers	43211503	Notebook computers
11-1011.03	Multi-line telephone systems	43191507	Special purpose telephones
11-1011.03	Personal computers	43211508	Personal computers
11-1011.03	Photocopying equipment	44101501	Photocopiers
11-1011.03	Smartphones	43191501	Mobile phones
11-1011.03	Video teleconferencing systems	45111902	Videoconferencing systems
11-1021.00	10-key calculators	44101809	Desktop calculator
11-1021.00	Cell phones	43191501	Mobile phones
11-1021.00	Computer scanners	43211711	Scanners
11-1021.00	Credit card processing machines	43211702	Magnetic stripe readers and encoders
11-1021.00	Desktop computers	43211507	Desktop computers
11-1021.00	Digital cameras	45121504	Digital cameras
11-1021.00	Handtrucks	24101504	Hand trucks or accessories
11-1021.00	Humidity test chambers	41103418	Temperature and humidity walk in environmental chamber
11-1021.00	Laptop computers	43211503	Notebook computers
11-1021.00	Magnetic card readers	43211702	Magnetic stripe readers and encoders
11-1021.00	Personal computers	43211508	Personal computers
11-1021.00	Personal digital assistants PDA	43211504	Personal digital assistant PDAs or organizers
11-1021.00	Photocopying equipment	44101501	Photocopiers
11-1021.00	Point of sale POS systems	43211505	Point of sale POS terminal
11-1021.00	Profilometers	41114508	Surface testers
11-1021.00	Spectrometers	41115403	Spectrometers
11-1021.00	Surveillance cameras	46171610	Security cameras
11-1021.00	Vacuum test chambers	41103305	High vacuum equipment
11-1031.00	Computer laser printers	43212105	Laser printers
11-1031.00	Laptop computers	43211503	Notebook computers
11-1031.00	Tablet computers	43211509	Tablet computers
11-1031.00	Wireless desktop printers	43212105	Laser printers
11-2011.00	Desktop computers	43211507	Desktop computers
11-2011.00	Notebook computers	43211503	Notebook computers
11-2011.00	Personal computers	43211508	Personal computers
11-2011.00	Personal digital assistants PDA	43211504	Personal digital assistant PDAs or organizers
11-2011.00	Scanners	43211711	Scanners
11-2011.00	Tablet computers	43211509	Tablet computers
11-2011.01	Computer data input scanners	43211711	Scanners
11-2011.01	Desktop computers	43211507	Desktop computers
11-2011.01	Handheld computers	43211715	Portable data input terminals
11-2011.01	Laptop computers	43211503	Notebook computers
11-2011.01	Laser facsimile machines	44101508	Laser fax machine
11-2011.01	Multi-line telephone systems	43191507	Special purpose telephones
11-2011.01	Personal computers	43211508	Personal computers
11-2011.01	Photocopying equipment	44101501	Photocopiers
11-2021.00	Desktop computers	43211507	Desktop computers
11-2021.00	Laser facsimile machines	44101508	Laser fax machine
11-2021.00	Notebook computers	43211503	Notebook computers
11-2021.00	Personal computers	43211508	Personal computers
