Commodity Code	Commodity Title	Class Code	Class Title	Family Code	Family Title	Segment Code	Segment Title
10111302	Pet grooming products	10111300	Domestic pet treatments and accessories and equipment	10110000	Domestic pet products	10000000	Live Plant and Animal Material and Accessories and Supplies
10111306	Domestic pet training kits	10111300	Domestic pet treatments and accessories and equipment	10110000	Domestic pet products	10000000	Live Plant and Animal Material and Accessories and Supplies
10131601	Cages or its accessories	10131600	Animal containment	10130000	Animal containment and habitats	10000000	Live Plant and Animal Material and Accessories and Supplies
10131602	Kennels	10131600	Animal containment	10130000	Animal containment and habitats	10000000	Live Plant and Animal Material and Accessories and Supplies
10131605	Animal transport cage	10131600	Animal containment	10130000	Animal containment and habitats	10000000	Live Plant and Animal Material and Accessories and Supplies
10131702	Aquariums	10131700	Animal habitats	10130000	Animal containment and habitats	10000000	Live Plant and Animal Material and Accessories and Supplies
10141501	Saddles	10141500	Saddlery	10140000	Saddlery and harness goods	10000000	Live Plant and Animal Material and Accessories and Supplies
10141502	Whips	10141500	Saddlery	10140000	Saddlery and harness goods	10000000	Live Plant and Animal Material and Accessories and Supplies
10141601	Bridles	10141600	Harness goods	10140000	Saddlery and harness goods	10000000	Live Plant and Animal Material and Accessories and Supplies
10141604	Reins	10141600	Harness goods	10140000	Saddlery and harness goods	10000000	Live Plant and Animal Material and Accessories and Supplies
10141606	Leashes or leads	10141600	Harness goods	10140000	Saddlery and harness goods	10000000	Live Plant and Animal Material and Accessories and Supplies
10141607	Animal collars	10141600	Harness goods	10140000	Saddlery and harness goods	10000000	Live Plant and Animal Material and Accessories and Supplies
10141608	Harnesses or its accessories	10141600	Harness goods	10140000	Saddlery and harness goods	10000000	Live Plant and Animal Material and Accessories and Supplies
10141609	Restraints	10141600	Harness goods	10140000	Saddlery and harness goods	10000000	Live Plant and Animal Material and Accessories and Supplies
10141610	Muzzles	10141600	Harness goods	10140000	Saddlery and harness goods	10000000	Live Plant and Animal Material and Accessories and Supplies
10141612	Dog catching pole	10141600	Harness goods	10140000	Saddlery and harness goods	10000000	Live Plant and Animal Material and Accessories and Supplies
10191701	Animal control traps	10191700	Pest control devices	10190000	Pest control products	10000000	Live Plant and Animal Material and Accessories and Supplies
10191703	Flying insect control traps	10191700	Pest control devices	10190000	Pest control products	10000000	Live Plant and Animal Material and Accessories and Supplies
10191705	Lariats	10191700	Pest control devices	10190000	Pest control products	10000000	Live Plant and Animal Material and Accessories and Supplies
11111610	Pumice stone	11111600	Stone	11110000	Earth and stone	11000000	Mineral and Textile and Inedible Plant and Animal Materials
11162110	Netting	11162100	Specialty fabrics or cloth	11160000	Fabrics and leather materials	11000000	Mineral and Textile and Inedible Plant and Animal Materials
12131604	Flares	12131600	Pyrotechnics	12130000	Explosive materials	12000000	Chemicals including Bio Chemicals and Gas Materials
12131701	Blasting caps	12131700	Igniters	12130000	Explosive materials	12000000	Chemicals including Bio Chemicals and Gas Materials
12131702	Detonators	12131700	Igniters	12130000	Explosive materials	12000000	Chemicals including Bio Chemicals and Gas Materials
12131703	Explosives fuses	12131700	Igniters	12130000	Explosive materials	12000000	Chemicals including Bio Chemicals and Gas Materials
12131704	Explosive initiators	12131700	Igniters	12130000	Explosive materials	12000000	Chemicals including Bio Chemicals and Gas Materials
12131707	Lighters	12131700	Igniters	12130000	Explosive materials	12000000	Chemicals including Bio Chemicals and Gas Materials
12131708	Detonator box	12131700	Igniters	12130000	Explosive materials	12000000	Chemicals including Bio Chemicals and Gas Materials
12162503	Flotation aids	12162500	Emulsion breakers	12160000	Additives	12000000	Chemicals including Bio Chemicals and Gas Materials
14111513	Ledger paper	14111500	Printing and writing paper	14110000	Paper products	14000000	Paper Materials and Products
14111802	Receipts or receipt books	14111800	Business use papers	14110000	Paper products	14000000	Paper Materials and Products
15131601	Nuclear fuel rod	15131600	Fission fuel assemblies	15130000	Fuel for nuclear reactors	15000000	Fuels and Fuel Additives and Lubricants and Anti corrosive Materials
20101501	Continuous mining equipment	20101500	Cutting equipment	20100000	Mining and quarrying machinery and equipment	20000000	Mining and Well Drilling Machinery and Accessories
20101502	Longwall shears	20101500	Cutting equipment	20100000	Mining and quarrying machinery and equipment	20000000	Mining and Well Drilling Machinery and Accessories
20101504	Rock cutters	20101500	Cutting equipment	20100000	Mining and quarrying machinery and equipment	20000000	Mining and Well Drilling Machinery and Accessories
20101601	Screens	20101600	Screens and feeding equipment	20100000	Mining and quarrying machinery and equipment	20000000	Mining and Well Drilling Machinery and Accessories
