O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
11-1011.00	1.C.1.a	Achievement/Effort	IM	4.55	27	0.16	4.21	4.89	N	07/2014	Incumbent
11-1011.00	1.C.1.b	Persistence	IM	4.43	27	0.18	4.06	4.80	N	07/2014	Incumbent
11-1011.00	1.C.1.c	Initiative	IM	4.75	27	0.12	4.50	4.99	N	07/2014	Incumbent
11-1011.00	1.C.2.b	Leadership	IM	4.97	27	0.03	4.90	5.00	N	07/2014	Incumbent
11-1011.00	1.C.3.a	Cooperation	IM	4.44	27	0.14	4.16	4.73	N	07/2014	Incumbent
11-1011.00	1.C.3.b	Concern for Others	IM	4.22	27	0.20	3.81	4.64	N	07/2014	Incumbent
11-1011.00	1.C.3.c	Social Orientation	IM	3.67	26	0.32	3.01	4.32	N	07/2014	Incumbent
11-1011.00	1.C.4.a	Self Control	IM	4.52	27	0.12	4.26	4.77	N	07/2014	Incumbent
11-1011.00	1.C.4.b	Stress Tolerance	IM	4.75	27	0.12	4.49	5.00	N	07/2014	Incumbent
11-1011.00	1.C.4.c	Adaptability/Flexibility	IM	4.20	27	0.22	3.75	4.65	N	07/2014	Incumbent
11-1011.00	1.C.5.a	Dependability	IM	4.65	27	0.13	4.38	4.93	N	07/2014	Incumbent
11-1011.00	1.C.5.b	Attention to Detail	IM	4.49	27	0.12	4.24	4.73	N	07/2014	Incumbent
11-1011.00	1.C.5.c	Integrity	IM	4.80	27	0.11	4.57	5.00	N	07/2014	Incumbent
11-1011.00	1.C.6	Independence	IM	4.54	27	0.18	4.17	4.91	N	07/2014	Incumbent
11-1011.00	1.C.7.a	Innovation	IM	4.27	27	0.24	3.79	4.75	N	07/2014	Incumbent
11-1011.00	1.C.7.b	Analytical Thinking	IM	4.45	27	0.17	4.09	4.80	N	07/2014	Incumbent
11-1011.03	1.C.1.a	Achievement/Effort	IM	4.19	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	1.C.1.b	Persistence	IM	4.31	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	1.C.1.c	Initiative	IM	4.60	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	1.C.2.b	Leadership	IM	4.64	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	1.C.3.a	Cooperation	IM	4.32	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	1.C.3.b	Concern for Others	IM	3.48	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	1.C.3.c	Social Orientation	IM	3.35	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	1.C.4.a	Self Control	IM	4.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	1.C.4.b	Stress Tolerance	IM	4.08	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	1.C.4.c	Adaptability/Flexibility	IM	4.23	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	1.C.5.a	Dependability	IM	4.23	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	1.C.5.b	Attention to Detail	IM	4.12	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	1.C.5.c	Integrity	IM	4.58	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	1.C.6	Independence	IM	4.27	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	1.C.7.a	Innovation	IM	4.38	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	1.C.7.b	Analytical Thinking	IM	4.31	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1021.00	1.C.1.a	Achievement/Effort	IM	4.18	55	0.14	3.91	4.46	N	07/2015	Incumbent
11-1021.00	1.C.1.b	Persistence	IM	4.04	55	0.13	3.79	4.29	N	07/2015	Incumbent
11-1021.00	1.C.1.c	Initiative	IM	4.35	55	0.11	4.13	4.56	N	07/2015	Incumbent
11-1021.00	1.C.2.b	Leadership	IM	4.59	55	0.10	4.39	4.79	N	07/2015	Incumbent
11-1021.00	1.C.3.a	Cooperation	IM	4.16	55	0.16	3.84	4.47	N	07/2015	Incumbent
11-1021.00	1.C.3.b	Concern for Others	IM	4.06	55	0.19	3.68	4.43	N	07/2015	Incumbent
11-1021.00	1.C.3.c	Social Orientation	IM	3.57	55	0.24	3.08	4.05	N	07/2015	Incumbent
11-1021.00	1.C.4.a	Self Control	IM	4.31	55	0.16	3.98	4.64	N	07/2015	Incumbent
11-1021.00	1.C.4.b	Stress Tolerance	IM	4.33	55	0.12	4.08	4.58	N	07/2015	Incumbent
11-1021.00	1.C.4.c	Adaptability/Flexibility	IM	4.09	55	0.17	3.75	4.44	N	07/2015	Incumbent
11-1021.00	1.C.5.a	Dependability	IM	4.54	55	0.11	4.32	4.76	N	07/2015	Incumbent
11-1021.00	1.C.5.b	Attention to Detail	IM	4.25	55	0.15	3.95	4.54	N	07/2015	Incumbent
11-1021.00	1.C.5.c	Integrity	IM	4.30	55	0.17	3.95	4.65	N	07/2015	Incumbent
11-1021.00	1.C.6	Independence	IM	3.99	55	0.19	3.60	4.38	N	07/2015	Incumbent
11-1021.00	1.C.7.a	Innovation	IM	3.65	55	0.20	3.25	4.05	N	07/2015	Incumbent
11-1021.00	1.C.7.b	Analytical Thinking	IM	4.03	55	0.22	3.60	4.47	N	07/2015	Incumbent
11-2011.00	1.C.1.a	Achievement/Effort	IM	4.10	27	0.16	3.77	4.43	N	08/2018	Incumbent
11-2011.00	1.C.1.b	Persistence	IM	4.32	27	0.16	4.00	4.65	N	08/2018	Incumbent
11-2011.00	1.C.1.c	Initiative	IM	4.56	27	0.11	4.34	4.78	N	08/2018	Incumbent
11-2011.00	1.C.2.b	Leadership	IM	4.03	27	0.19	3.64	4.41	N	08/2018	Incumbent
11-2011.00	1.C.3.a	Cooperation	IM	4.51	27	0.16	4.19	4.82	N	08/2018	Incumbent
11-2011.00	1.C.3.b	Concern for Others	IM	3.81	27	0.21	3.39	4.24	N	08/2018	Incumbent
11-2011.00	1.C.3.c	Social Orientation	IM	3.70	27	0.24	3.21	4.20	N	08/2018	Incumbent
11-2011.00	1.C.4.a	Self Control	IM	4.18	26	0.20	3.77	4.60	N	08/2018	Incumbent
11-2011.00	1.C.4.b	Stress Tolerance	IM	4.35	27	0.15	4.04	4.66	N	08/2018	Incumbent
11-2011.00	1.C.4.c	Adaptability/Flexibility	IM	4.42	27	0.14	4.13	4.72	N	08/2018	Incumbent
11-2011.00	1.C.5.a	Dependability	IM	4.51	27	0.14	4.22	4.80	N	08/2018	Incumbent
11-2011.00	1.C.5.b	Attention to Detail	IM	4.48	27	0.14	4.20	4.76	N	08/2018	Incumbent
11-2011.00	1.C.5.c	Integrity	IM	4.17	27	0.16	3.83	4.51	N	08/2018	Incumbent
11-2011.00	1.C.6	Independence	IM	4.04	27	0.15	3.74	4.35	N	08/2018	Incumbent
11-2011.00	1.C.7.a	Innovation	IM	3.99	27	0.18	3.61	4.37	N	08/2018	Incumbent
11-2011.00	1.C.7.b	Analytical Thinking	IM	3.88	27	0.15	3.56	4.19	N	08/2018	Incumbent
11-2021.00	1.C.1.a	Achievement/Effort	IM	4.32	37	0.11	4.10	4.55	N	07/2015	Incumbent
11-2021.00	1.C.1.b	Persistence	IM	4.23	37	0.17	3.88	4.59	N	07/2015	Incumbent
11-2021.00	1.C.1.c	Initiative	IM	4.53	37	0.26	4.01	5.00	N	07/2015	Incumbent
11-2021.00	1.C.2.b	Leadership	IM	4.37	37	0.19	3.98	4.75	N	07/2015	Incumbent
11-2021.00	1.C.3.a	Cooperation	IM	4.08	37	0.20	3.68	4.48	N	07/2015	Incumbent
11-2021.00	1.C.3.b	Concern for Others	IM	3.37	36	0.23	2.89	3.84	N	07/2015	Incumbent
11-2021.00	1.C.3.c	Social Orientation	IM	3.80	37	0.21	3.37	4.23	N	07/2015	Incumbent
11-2021.00	1.C.4.a	Self Control	IM	3.87	37	0.19	3.48	4.26	N	07/2015	Incumbent
11-2021.00	1.C.4.b	Stress Tolerance	IM	4.01	37	0.22	3.57	4.46	N	07/2015	Incumbent
11-2021.00	1.C.4.c	Adaptability/Flexibility	IM	4.31	37	0.14	4.04	4.59	N	07/2015	Incumbent
11-2021.00	1.C.5.a	Dependability	IM	4.35	37	0.17	4.00	4.70	N	07/2015	Incumbent
11-2021.00	1.C.5.b	Attention to Detail	IM	4.32	37	0.16	3.99	4.64	N	07/2015	Incumbent
11-2021.00	1.C.5.c	Integrity	IM	4.17	37	0.17	3.82	4.52	N	07/2015	Incumbent
11-2021.00	1.C.6	Independence	IM	3.88	37	0.17	3.54	4.22	N	07/2015	Incumbent
11-2021.00	1.C.7.a	Innovation	IM	4.15	37	0.14	3.86	4.44	N	07/2015	Incumbent
11-2021.00	1.C.7.b	Analytical Thinking	IM	4.00	37	0.15	3.69	4.30	N	07/2015	Incumbent
11-2022.00	1.C.1.a	Achievement/Effort	IM	4.35	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	1.C.1.b	Persistence	IM	4.48	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	1.C.1.c	Initiative	IM	4.78	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	1.C.2.b	Leadership	IM	4.57	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	1.C.3.a	Cooperation	IM	4.35	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	1.C.3.b	Concern for Others	IM	3.74	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	1.C.3.c	Social Orientation	IM	3.83	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	1.C.4.a	Self Control	IM	4.30	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	1.C.4.b	Stress Tolerance	IM	4.52	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	1.C.4.c	Adaptability/Flexibility	IM	4.57	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	1.C.5.a	Dependability	IM	4.57	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	1.C.5.b	Attention to Detail	IM	4.09	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	1.C.5.c	Integrity	IM	4.64	22	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	1.C.6	Independence	IM	4.30	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	1.C.7.a	Innovation	IM	4.13	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	1.C.7.b	Analytical Thinking	IM	4.14	22	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2031.00	1.C.1.a	Achievement/Effort	IM	4.33	29	0.19	3.95	4.71	N	07/2017	Incumbent
11-2031.00	1.C.1.b	Persistence	IM	4.53	29	0.18	4.16	4.90	N	07/2017	Incumbent
11-2031.00	1.C.1.c	Initiative	IM	4.86	30	0.06	4.73	4.99	N	07/2017	Incumbent
11-2031.00	1.C.2.b	Leadership	IM	4.30	30	0.15	3.99	4.62	N	07/2017	Incumbent
11-2031.00	1.C.3.a	Cooperation	IM	4.41	30	0.14	4.12	4.69	N	07/2017	Incumbent
11-2031.00	1.C.3.b	Concern for Others	IM	4.16	30	0.21	3.73	4.59	N	07/2017	Incumbent
11-2031.00	1.C.3.c	Social Orientation	IM	4.15	30	0.16	3.83	4.47	N	07/2017	Incumbent
11-2031.00	1.C.4.a	Self Control	IM	3.94	30	0.24	3.44	4.44	N	07/2017	Incumbent
11-2031.00	1.C.4.b	Stress Tolerance	IM	4.17	30	0.24	3.69	4.66	N	07/2017	Incumbent
