NASA Class Code,NASA Specialty Title,NCC,OPM Series Title,OPMSeries,OPM,NCC GRP NUM,NCC Group,Skill Mix Group,OPM SERIES NUMBER,OPM SERIES TITLE ,SUPERVISORY FEDERAL SECTOR JOB GROUP,NON-SUPERVISORY FEDERAL SECTOR JOB GROUP,2010 SOC CODE,2010 EEO TABULATION (CENSUS) CODE,2010 EEO TABULATION (CENSUS) OCCUPATION TITLE,
740-35,Aerospace Experimental Facilities and Test Technologies,740-35 Aerospace Experimental Facilities and Test Technologies,Aerospace Experimental Facilities and Test Technologies,GS-801,GS-801 Aerospace Experimental Facilities and Test Technologies,740,Facilities and Environmental Factors,S&E,801,GENERAL ENGINEERING ,1,2,17-21YY,1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",
745-14,Educator Astronaut,745-14 Educator Astronaut,Educator Astronaut,GA-801**,GA-801** Educator Astronaut,745,Operations,S&E,801,GENERAL ENGINEERING ,1,2,17-21YY,1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",
674-04,Explosives Safety Specialist,674-04 Explosives Safety Specialist,Explosives Safety Specialist,GS-0017-0,GS-0017-0 Explosives Safety Specialist,674,Safety,PROF ADMIN,17,EXPLOSIVES SAFETY ,1,6*,47-5031,6830,"EXPLOSIVES WORKERS, ORDNANCE HANDLING EXPERTS, & BLASTERS",
674-01,Safety and Occupational Health Specialist,674-01 Safety and Occupational Health Specialist,Safety and Occupational Health Specialist,GS-0018-0,GS-0018-0 Safety and Occupational Health Specialist,674,Safety,PROF ADMIN,18,SAFETY & OCCUPATIONAL HEALTH MANAGEMENT,1,3,29-9000,3540,OTHER HEALTHCARE PRACTITIONERS & TECHNICAL OCCUPATIONS,
674-02,Safety and Occupational Health Manager,674-02 Safety and Occupational Health Manager,Safety and Occupational Health Manager,GS-0018-0,GS-0018-0 Safety and Occupational Health Manager,674,Safety,PROF ADMIN,18,SAFETY & OCCUPATIONAL HEALTH MANAGEMENT,1,3,29-9000,3540,OTHER HEALTHCARE PRACTITIONERS & TECHNICAL OCCUPATIONS,
335-01,Safety Technician,335-01 Safety Technician,Safety Technician,GS-0019,GS-0019 Safety Technician,335,Misc Tech,TECH,19,SAFETY TECHNICIAN,1,3,29-9000,3540,OTHER HEALTHCARE PRACTITIONERS & TECHNICAL OCCUPATIONS,
699-17,Community Planner,699-17 Community Planner,Community Planner,GS-0020-0,GS-0020-0 Community Planner,699,Misc Specialty,PROF ADMIN,20,COMMUNITY PLANNING,1,2,19-3051,1840,URBAN & REGIONAL PLANNERS,
699-13,Environmental Protection Specialist,699-13 Environmental Protection Specialist,Environmental Protection Specialist,GS-0028-0,GS-0028-0 Environmental Protection Specialist,699,Misc Specialty,PROF ADMIN,28,ENVIRONMENTAL PROTECTION SPECIALIST ,1,2,19-2040,1740,ENVIRONMENTAL SCIENTISTS & GEOSCIENTISTS,
675-01,Security Officer,675-01 Security Officer,Security Officer,GS-0080-0,GS-0080-0 Security Officer,675,Security and Investigation,PROF ADMIN,80,SECURITY ADMINISTRATION,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
675-02,Personnel Security Specialist,675-02 Personnel Security Specialist,Personnel Security Specialist,GS-0080-0,GS-0080-0 Personnel Security Specialist,675,Security and Investigation,PROF ADMIN,80,SECURITY ADMINISTRATION,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
675-03,Physical Security Specialist,675-03 Physical Security Specialist,Physical Security Specialist,GS-0080-0,GS-0080-0 Physical Security Specialist,675,Security and Investigation,PROF ADMIN,80,SECURITY ADMINISTRATION,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
675-04,Industrial Security Specialist,675-04 Industrial Security Specialist,Industrial Security Specialist,GS-0080-0,GS-0080-0 Industrial Security Specialist,675,Security and Investigation,PROF ADMIN,80,SECURITY ADMINISTRATION,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
675-05,Security Specialist,675-05 Security Specialist,Security Specialist,GS-0080-0,GS-0080-0 Security Specialist,675,Security and Investigation,PROF ADMIN,80,SECURITY ADMINISTRATION,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
675-06,Information Security Specialist,675-06 Information Security Specialist,Information Security Specialist,GS-0080-0,GS-0080-0 Information Security Specialist,675,Security and Investigation,PROF ADMIN,80,SECURITY ADMINISTRATION,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
363-01,Fire Protection Specialist,363-01 Fire Protection Specialist,Fire Protection Specialist,GS-0081,GS-0081 Fire Protection Specialist,363,Inspection and Protection,TECH,81,FIRE PROTECTION & PREVENTION,1,9,33-2011,3740,FIREFIGHTERS,
363-02,Fire Protection Inspector,363-02 Fire Protection Inspector,Fire Protection Inspector,GS-0081,GS-0081 Fire Protection Inspector,363,Inspection and Protection,TECH,81,FIRE PROTECTION & PREVENTION,1,9,33-2011,3740,FIREFIGHTERS,
363-03,Firefighter,363-03 Firefighter,Firefighter,GS-0081,GS-0081 Firefighter,363,Inspection and Protection,TECH,81,FIRE PROTECTION & PREVENTION,1,9,33-2011,3740,FIREFIGHTERS,
364-01,Security Guard,364-01 Security Guard,Security Guard,GS-0085,GS-0085 Security Guard,364,Inspection and Protection,TECH,85,SECURITY GUARD ,1,9,33-9030,3930,SECURITY GUARDS & GAMING SURVEILLANCE OFFICERS,
510-11,Security Assistant,510-11 Security Assistant,Security Assistant,GS-0086-0,GS-0086-0 Security Assistant,510,Specialized Admin Clerical,CLERICAL,86,SECURITY CLERICAL & ASSISTANCE,1,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",
690-07,Emergency Management Specialist,690-07 Emergency Management Specialist,Emergency Management Specialist,GS-0089-0,GS-0089-0 Emergency Management Specialist,690,"Equipment, Facilities, and Services",PROF ADMIN,89,EMERGENCY MANAGEMENT,1,2,Nov-61,425,EMERGENCY MANAGEMENT DIRECTORS,
340-01,Student Trainee (General),340-01 Student Trainee (General),Student Trainee (General),GS-0099,GS-0099 Student Trainee (General),340,Student Trainee Tech,TECH,99,GENERAL STUDENT TRAINEE,1,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",
699-87,Student Trainee (Protective Services),699-87 Student Trainee (Protective Services),Student Trainee (Protective Services),GS-0099-0,GS-0099-0 Student Trainee (Protective Services),699,Misc Specialty,PROF ADMIN,99,GENERAL STUDENT TRAINEE,1,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",
645-05,Social Scientist,645-05 Social Scientist,Social Scientist,GS-0101-0,GS-0101-0 Social Scientist,645,EO and Social Scientist,PROF ADMIN,101,SOCIAL SCIENCE ,1,2,19-30XX,1860,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING SURVEY RESEARCHERS & SOCIOLOGISTS#",
675-10,Intelligence Operations Specialist,675-10 Intelligence Operations Specialist,Intelligence Operations Specialist,GS-0132-0,GS-0132-0 Intelligence Operations Specialist,675,Security and Investigation,PROF ADMIN,132,INTELLIGENCE,1,2,19-30XX,1860,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING SURVEY RESEARCHERS & SOCIOLOGISTS#",
675-11,Intelligence Research Specialist,675-11 Intelligence Research Specialist,Intelligence Research Specialist,GS-0132-0,GS-0132-0 Intelligence Research Specialist,675,Security and Investigation,PROF ADMIN,132,INTELLIGENCE,1,2,19-30XX,1860,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING SURVEY RESEARCHERS & SOCIOLOGISTS#",
684-01,Workforce Development Specialist,684-01 Workforce Development Specialist,Workforce Development Specialist,GS-0142-0,GS-0142-0 Workforce Development Specialist,684,Business and Industry,PROF ADMIN,142,WORKFORCE DEVELOPMENT,1,2,13-1070,630,HUMAN RESOURCES WORKERS,
283-01,Geographer,283-01 Geographer,Geographer,GS-0150,GS-0150 Geographer,283,S&E Non-AST,S&E,150,GEOGRAPHY,1,2,19-30XX,1860,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING SURVEY RESEARCHERS & SOCIOLOGISTS#",
645-03,Civil Rights Analyst,645-03 Civil Rights Analyst,Civil Rights Analyst,GS-0160-0,GS-0160-0 Civil Rights Analyst,645,EO and Social Scientist,PROF ADMIN,160,CIVIL RIGHTS ANALYSIS,1,2,19-30XX,1860,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING SURVEY RESEARCHERS & SOCIOLOGISTS#",
699-02,Historian,699-02 Historian,Historian,GS-0170-0,GS-0170-0 Historian,699,Misc Specialty,PROF ADMIN,170,HISTORY,1,2,19-30XX,1860,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING SURVEY RESEARCHERS & SOCIOLOGISTS#",
905-01,Psychologist,905-01 Psychologist,Psychologist,GS-0180-0,GS-0180-0 Psychologist,905,Social Science,S&E,180,PSYCHOLOGY ,1,2,19-3030,1820,PSYCHOLOGISTS,
340-02,Student Trainee (Social Science),340-02 Student Trainee (Social Science),Student Trainee (Social Science),GS-0199,GS-0199 Student Trainee (Social Science),340,Student Trainee Tech,TECH,199,SOCIAL SCIENCE STUDENT TRAINEE,1,5*,19-30XX,1860,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING SURVEY RESEARCHERS & SOCIOLOGISTS#",
630-01,Director of Human Resources,630-01 Director of Human Resources,Director of Human Resources,GS-0201-0,GS-0201-0 Director of Human Resources,630,HR,PROF ADMIN,201,HUMAN RESOURCES MANAGEMENT ,1,2,Nov-21,136,HUMAN RESOURCES MANAGERS,
630-02,Human Resources Specialist,630-02 Human Resources Specialist,Human Resources Specialist,GS-0201-0,GS-0201-0 Human Resources Specialist,630,HR,PROF ADMIN,201,HUMAN RESOURCES MANAGEMENT ,1,2,Nov-21,136,HUMAN RESOURCES MANAGERS,
630-03,Human Resources Officer,630-03 Human Resources Officer,Human Resources Officer,GS-0201-0,GS-0201-0 Human Resources Officer,630,HR,PROF ADMIN,201,HUMAN RESOURCES MANAGEMENT ,1,2,Nov-21,136,HUMAN RESOURCES MANAGERS,
630-04,Assistant Director of Human Resources,630-04 Assistant Director of Human Resources,Assistant Director of Human Resources,GS-0201-0,GS-0201-0 Assistant Director of Human Resources,630,HR,PROF ADMIN,201,HUMAN RESOURCES MANAGEMENT ,1,2,Nov-21,136,HUMAN RESOURCES MANAGERS,
630-05,Assistant Human Resources Officer,630-05 Assistant Human Resources Officer,Assistant Human Resources Officer,GS-0201-0,GS-0201-0 Assistant Human Resources Officer,630,HR,PROF ADMIN,201,HUMAN RESOURCES MANAGEMENT ,1,2,Nov-21,136,HUMAN RESOURCES MANAGERS,
631-01,Human Resources Specialist (Recruitment),631-01 Human Resources Specialist (Recruitment),Human Resources Specialist (Recruitment),GS-0201-0,GS-0201-0 Human Resources Specialist (Recruitment),631,HR,PROF ADMIN,201,HUMAN RESOURCES MANAGEMENT ,1,2,Nov-21,136,HUMAN RESOURCES MANAGERS,
